param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt,year,ehour,scale,pnl_vt
h00_r30_t1,1704153600000000000,1,1704156400000000000,1704157505000000000,220,2065.121,2067.884,2062.358,2067.884,2.76299999999992,0.13389783977666828,tp,2.76299999999992,2.76299999999992,5.38599999999984,Tuesday,2024-01-02,0,30,1.0,2024,0,1.0,5.38599999999984
h01_r60_t3,1704153600000000000,-1,1704161225000000000,1704165355000000000,826,2064.968,2069.9995,2069.9995,2049.8734999999997,5.031500000000051,0.24345315915735408,sl,-5.031500000000051,5.031500000000051,-10.203000000000102,Tuesday,2024-01-02,1,60,3.0,2024,2,1.0,-10.203000000000102
h02_r15_t3,1704153600000000000,1,1704162400000000000,1704176495000000000,2811,2066.942,2075.5369999999994,2064.077,2075.5369999999994,2.8649999999997817,0.1387548291765703,tp,8.594999999999345,2.8649999999997817,17.04999999999869,Tuesday,2024-01-02,2,15,3.0,2024,2,1.0,17.04999999999869
h04_r30_t3,1704153600000000000,-1,1704171365000000000,1704172365000000000,200,2069.0164999999997,2070.852,2070.852,2063.5099999999993,1.8355000000001382,0.08869191386327037,sl,-1.8355000000001382,1.8355000000001382,-3.8110000000002766,Tuesday,2024-01-02,4,30,3.0,2024,4,1.0,-3.8110000000002766
h05_r60_t2,1704153600000000000,1,1704175200000000000,1704195635000000000,4086,2074.987,2069.5545,2069.5545,2085.852,5.432499999999891,0.26187089824971377,sl,-5.432499999999891,5.432499999999891,-11.004999999999782,Tuesday,2024-01-02,5,60,2.0,2024,6,1.0,-11.004999999999782
h06_r60_t3,1704153600000000000,-1,1704182835000000000,1704188120000000000,1057,2073.0215,2076.839,2076.839,2061.5689999999995,3.817500000000109,0.18403537142966483,sl,-3.817500000000109,3.817500000000109,-7.775000000000218,Tuesday,2024-01-02,6,60,3.0,2024,8,1.0,-7.775000000000218
h13_r30_t3,1704153600000000000,1,1704202280000000000,1704203540000000000,252,2068.8355,2064.9004999999997,2064.9004999999997,2080.6405000000013,3.9350000000004,0.19035640427154932,sl,-3.9350000000004,3.9350000000004,-8.010000000000801,Tuesday,2024-01-02,13,30,3.0,2024,13,1.0,-8.010000000000801
h14_r15_t2,1704153600000000000,-1,1704205280000000000,1704205585000000000,61,2064.9375,2067.364,2067.364,2060.0845,2.4265000000000327,0.11748508801214082,sl,-2.4265000000000327,2.4265000000000327,-4.993000000000065,Tuesday,2024-01-02,14,15,2.0,2024,14,1.0,-4.993000000000065
h00_r30_t1,1704240000000000000,1,1704244440000000000,1704249740000000000,1060,2062.2219999999998,2065.1169999999993,2059.327,2065.1169999999993,2.894999999999527,0.14038711929993272,tp,2.894999999999527,2.894999999999527,5.6499999999990544,Wednesday,2024-01-03,0,30,1.0,2024,1,1.0,5.6499999999990544
h01_r60_t3,1704240000000000000,1,1704247465000000000,1704270485000000000,4590,2062.6549999999997,2059.543,2059.543,2071.9909999999986,3.1119999999996253,0.1508864213614651,sl,-3.1119999999996253,3.1119999999996253,-6.36399999999925,Wednesday,2024-01-03,1,60,3.0,2024,2,1.0,-6.36399999999925
h02_r15_t3,1704240000000000000,1,1704248100000000000,1704266135000000000,3593,2064.113,2061.6965,2061.6965,2071.28,2.3890000000001237,0.1157413295137301,sl,-2.4164999999998145,2.4164999999998145,-4.972999999999629,Wednesday,2024-01-03,2,15,3.0,2024,2,1.0,-4.972999999999629
h05_r60_t2,1704240000000000000,-1,1704262875000000000,1704273225000000000,2070,2063.5525,2058.4924999999994,2066.0825,2058.4924999999994,2.5300000000002,0.12256792891448658,tp,5.0600000000004,2.5300000000002,9.9800000000008,Wednesday,2024-01-03,5,60,2.0,2024,6,1.0,9.9800000000008
h06_r60_t3,1704240000000000000,-1,1704265395000000000,1704274295000000000,1780,2063.468,2057.5355,2065.4539999999997,2057.5355,1.9774999999999636,0.09579054446812457,tp,5.932499999999891,1.9859999999998763,11.724999999999781,Wednesday,2024-01-03,6,60,3.0,2024,7,1.0,11.724999999999781
h13_r30_t3,1704240000000000000,-1,1704289530000000000,1704294240000000000,942,2041.48,2048.0785,2048.0785,2021.6844999999998,6.598500000000058,0.32300905316273554,sl,-6.598500000000058,6.598500000000058,-13.337000000000117,Wednesday,2024-01-03,13,30,3.0,2024,13,1.0,-13.337000000000117
h14_r15_t2,1704240000000000000,-1,1704291430000000000,1704294005000000000,515,2036.466,2042.394,2042.394,2024.6099999999997,5.928000000000111,0.29095692335631723,sl,-5.928000000000111,5.928000000000111,-11.996000000000222,Wednesday,2024-01-03,14,15,2.0,2024,14,1.0,-11.996000000000222
h00_r30_t1,1704326400000000000,-1,1704328910000000000,1704331140000000000,446,2042.224,2043.2875,2043.2875,2041.1975,1.0264999999999418,0.05024396344353681,sl,-1.0634999999999764,1.0634999999999764,-2.266999999999953,Thursday,2024-01-04,0,30,1.0,2024,0,1.0,-2.266999999999953
h01_r60_t3,1704326400000000000,1,1704333685000000000,1704375600000000000,8376,2043.387,2040.1444999999999,2040.1444999999999,2053.1145,3.2425000000000637,0.15876730955390247,sl,-3.2425000000000637,3.2425000000000637,-6.625000000000127,Thursday,2024-01-04,1,60,3.0,2024,2,1.0,-6.625000000000127
h02_r15_t3,1704326400000000000,1,1704334600000000000,1704360925000000000,5258,2044.1955,2049.8595000000005,2042.3075,2049.8595000000005,1.8880000000001473,0.09236878727561967,tp,5.664000000000442,1.8880000000001473,11.188000000000883,Thursday,2024-01-04,2,15,3.0,2024,2,1.0,11.188000000000883
