param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt
h00_r30_t1,1704067200000000000,1,1704069010000000000,1704069505000000000,99,2070.263,2065.3464999999997,2065.3464999999997,2075.0120000000006,4.749000000000706,0.2295140358054803,sl,-4.916500000000269,4.916500000000269,-9.973000000000539,Monday,2024-01-01,0,30,1.0
h01_r60_t3,1704067200000000000,-1,1704075090000000000,1704092550000000000,3489,2060.3805,2067.576,2067.576,2038.7940000000008,7.195499999999811,0.34904255234000203,sl,-7.195499999999811,7.195499999999811,-14.530999999999622,Monday,2024-01-01,1,60,3.0
h02_r15_t3,1704067200000000000,-1,1704075395000000000,1704076455000000000,212,2060.2475,2061.616,2061.616,2056.142,1.36850000000004,0.06641948039436427,sl,-1.36850000000004,1.36850000000004,-2.87700000000008,Monday,2024-01-01,2,15,3.0
h04_r30_t3,1704067200000000000,-1,1704083585000000000,1704091930000000000,1668,2061.7905,2066.2345,2066.2345,2048.4585,4.44399999999996,0.2153974783857287,sl,-4.44399999999996,4.44399999999996,-9.02799999999992,Monday,2024-01-01,4,30,3.0
h05_r60_t2,1704067200000000000,1,1704089800000000000,1704101600000000000,1999,2064.0829999999996,2058.45,2058.45,2075.3489999999993,5.632999999999811,0.2730445239982681,sl,-5.632999999999811,5.632999999999811,-11.405999999999622,Monday,2024-01-01,5,60,2.0
h06_r60_t3,1704067200000000000,1,1704092495000000000,1704098020000000000,745,2067.1955,2062.5685000000003,2062.5685000000003,2081.0764999999983,4.626999999999498,0.22390889177678008,sl,-4.626999999999498,4.626999999999498,-9.393999999998996,Monday,2024-01-01,6,60,3.0
h13_r30_t3,1704067200000000000,-1,1704115845000000000,1704117625000000000,356,2062.1945,2065.851,2065.851,2051.225,3.656500000000051,0.17727238569894727,sl,-3.656500000000051,3.656500000000051,-7.4530000000001015,Monday,2024-01-01,13,30,3.0
h14_r15_t2,1704067200000000000,-1,1704120015000000000,1704122460000000000,489,2057.1814999999997,2039.035499999999,2066.2545,2039.035499999999,9.07300000000032,0.44039680854292734,tp,18.14600000000064,9.07300000000032,36.15200000000128,Monday,2024-01-01,14,15,2.0
h00_r30_t1,1704153600000000000,1,1704155435000000000,1704155585000000000,30,2050.5485,2044.2585,2044.2585,2056.8385,6.289999999999964,0.3072925305197891,sl,-6.289999999999964,6.289999999999964,-12.719999999999928,Tuesday,2024-01-02,0,30,1.0
h01_r60_t3,1704153600000000000,-1,1704161275000000000,1704169285000000000,1601,2039.8025,2046.2714999999998,2046.2714999999998,2020.3955000000005,6.468999999999824,0.31676553449959705,sl,-6.468999999999824,6.468999999999824,-13.077999999999648,Tuesday,2024-01-02,1,60,3.0
h02_r15_t3,1704153600000000000,1,1704168085000000000,1704182700000000000,2921,2044.257,2033.412,2033.412,2076.7920000000004,10.845000000000027,0.532651879458106,sl,-10.845000000000027,10.845000000000027,-21.830000000000055,Tuesday,2024-01-02,2,15,3.0
h04_r30_t3,1704153600000000000,1,1704170365000000000,1704176090000000000,1145,2049.368,2041.461,2041.461,2073.089,7.906999999999925,0.3859262596292397,sl,-7.906999999999925,7.906999999999925,-15.953999999999851,Tuesday,2024-01-02,4,30,3.0
h05_r60_t2,1704153600000000000,-1,1704175360000000000,1704183465000000000,1621,2044.7925,2032.6344999999997,2050.8715,2032.6344999999997,6.079000000000178,0.29713563980455127,tp,12.158000000000357,6.079000000000178,24.176000000000712,Tuesday,2024-01-02,5,60,2.0
h06_r60_t3,1704153600000000000,-1,1704178835000000000,1704187630000000000,1759,2037.6635,2012.2565,2046.1325000000002,2012.2565,8.469000000000051,0.4155535476001182,tp,25.407000000000153,8.469000000000051,50.674000000000305,Tuesday,2024-01-02,6,60,3.0
h13_r30_t3,1704153600000000000,1,1704204945000000000,1704239995000000000,6157,2008.5700000000002,2024.147,2000.6950000000002,2032.1950000000002,7.875,0.392175318054183,session_end,15.57699999999977,7.875,31.01399999999954,Tuesday,2024-01-02,13,30,3.0
h14_r15_t2,1704153600000000000,1,1704204940000000000,1704211345000000000,1281,2007.8545,2017.0704999999994,2003.2465000000002,2017.0704999999994,4.60799999999972,0.2296130586447458,tp,9.21599999999944,4.60799999999972,18.29199999999888,Tuesday,2024-01-02,14,15,2.0
h00_r30_t1,1704240000000000000,-1,1704242010000000000,1704254625000000000,2518,2021.99,2017.608,2026.372,2017.608,4.382000000000062,0.2166906170292548,tp,4.382000000000062,4.382000000000062,8.624000000000123,Wednesday,2024-01-03,0,30,1.0
h01_r60_t3,1704240000000000000,-1,1704247375000000000,1704269960000000000,4516,2021.0935,2010.0234999999998,2024.7835,2010.0234999999998,3.6900000000000546,0.18250761004801108,tp,11.070000000000164,3.6900000000000546,22.000000000000327,Wednesday,2024-01-03,1,60,3.0
h02_r15_t3,1704240000000000000,-1,1704250220000000000,1704251640000000000,284,2019.5765000000001,2022.1734999999999,2022.1734999999999,2011.7855000000009,2.5969999999997526,0.12851196554274794,sl,-2.5969999999997526,2.5969999999997526,-5.333999999999505,Wednesday,2024-01-03,2,15,3.0
h04_r30_t3,1704240000000000000,1,1704258010000000000,1704258695000000000,137,2019.5865,2014.9045,2014.9045,2033.6324999999993,4.681999999999789,0.2319212735757009,sl,-4.681999999999789,4.681999999999789,-9.503999999999579,Wednesday,2024-01-03,4,30,3.0
h05_r60_t2,1704240000000000000,-1,1704269945000000000,1704290835000000000,4177,2010.2475,2020.519,2020.519,1989.7044999999998,10.27150000000006,0.5106295610345654,sl,-10.27150000000006,10.27150000000006,-20.68300000000012,Wednesday,2024-01-03,5,60,2.0
h06_r60_t3,1704240000000000000,-1,1704266755000000000,1704275835000000000,1816,2011.3455,2015.9715,2015.9715,1997.4674999999993,4.626000000000204,0.2297285989510354,sl,-4.626000000000204,4.626000000000204,-9.392000000000408,Wednesday,2024-01-03,6,60,3.0
h13_r30_t3,1704240000000000000,-1,1704289055000000000,1704290635000000000,316,2005.9695000000002,2015.336,2015.336,1977.8700000000006,9.36649999999986,0.46641619173531623,sl,-9.36649999999986,9.36649999999986,-18.87299999999972,Wednesday,2024-01-03,13,30,3.0
h14_r15_t2,1704240000000000000,1,1704291700000000000,1704326395000000000,6137,2025.021,2030.925,2011.595,2051.8729999999996,13.42599999999993,0.6641497636445988,session_end,5.903999999999996,13.42599999999993,11.667999999999992,Wednesday,2024-01-03,14,15,2.0
h00_r30_t1,1704326400000000000,1,1704328410000000000,1704329520000000000,222,2034.0974999999999,2028.5915,2028.5915,2039.6034999999997,5.505999999999858,0.27100077594028227,sl,-5.505999999999858,5.505999999999858,-11.151999999999717,Thursday,2024-01-04,0,30,1.0
h01_r60_t3,1704326400000000000,1,1704335415000000000,1704349575000000000,2828,2038.7624999999998,2030.0065,2030.0065,2065.0304999999994,8.755999999999858,0.4296178211909559,sl,-8.755999999999858,8.755999999999858,-17.651999999999717,Thursday,2024-01-04,1,60,3.0
h02_r15_t3,1704326400000000000,-1,1704334630000000000,1704335410000000000,156,2036.2505,2038.4744999999998,2038.4744999999998,2029.578500000001,2.2239999999997053,0.10921606291315211,sl,-2.2239999999997053,2.2239999999997053,-4.58799999999941,Thursday,2024-01-04,2,15,3.0
h04_r30_t3,1704326400000000000,-1,1704343010000000000,1704348820000000000,1161,2037.4904999999999,2032.5825,2039.1264999999999,2032.5825,1.6359999999999673,0.08026743381922936,tp,4.907999999999902,1.6359999999999673,9.675999999999803,Thursday,2024-01-04,4,30,3.0
