param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt
h00_r30_t1,1704067200000000000,-1,1704070380000000000,1704072575000000000,439,2050.7635,2035.6615000000002,2065.8655,2035.6615000000002,15.101999999999862,0.7342746849539991,tp,15.101999999999862,15.101999999999862,30.063999999999723,Monday,2024-01-01,0,30,1.0
h01_r60_t3,1704067200000000000,1,1704077010000000000,1704124820000000000,9560,2050.2304999999997,2033.1285,2033.1285,2101.5364999999983,17.101999999999634,0.8376859745397557,sl,-17.101999999999634,17.101999999999634,-34.34399999999927,Monday,2024-01-01,1,60,3.0
h02_r15_t3,1704067200000000000,1,1704075760000000000,1704092865000000000,3421,2045.6985,2067.4905000000003,2038.4344999999998,2067.4905000000003,7.264000000000124,0.35562231089390123,tp,21.79200000000037,7.264000000000124,43.44400000000074,Monday,2024-01-01,2,15,3.0
h04_r30_t3,1704067200000000000,-1,1704083780000000000,1704089155000000000,1075,2053.2525,2057.7255,2057.7255,2039.8335000000002,4.472999999999956,0.21753895019583397,sl,-4.472999999999956,4.472999999999956,-9.085999999999913,Monday,2024-01-01,4,30,3.0
h05_r60_t2,1704067200000000000,1,1704088800000000000,1704093485000000000,937,2057.4314999999997,2077.3014999999987,2047.4965000000002,2077.3014999999987,9.93499999999949,0.4829249453944583,tp,19.86999999999898,9.93499999999949,39.59999999999796,Monday,2024-01-01,5,60,2.0
h06_r60_t3,1704067200000000000,1,1704092540000000000,1704118215000000000,5133,2066.4285,2056.3525,2056.3525,2096.6565,10.076000000000022,0.48779035471547333,sl,-10.076000000000022,10.076000000000022,-20.292000000000044,Monday,2024-01-01,6,60,3.0
h13_r30_t3,1704067200000000000,1,1704115845000000000,1704117885000000000,408,2074.2275,2063.3255,2063.3255,2106.9335,10.902000000000044,0.5264147759248555,sl,-10.902000000000044,10.902000000000044,-21.944000000000088,Monday,2024-01-01,13,30,3.0
h14_r15_t2,1704067200000000000,-1,1704118700000000000,1704124820000000000,1224,2056.1435,2031.397500000001,2068.5164999999997,2031.397500000001,12.372999999999593,0.6004111600872202,tp,24.745999999999185,12.372999999999593,49.35199999999837,Monday,2024-01-01,14,15,2.0
h00_r30_t1,1704153600000000000,-1,1704155470000000000,1704157825000000000,468,2048.435,2047.08,2049.866,2047.08,1.3550000000000182,0.06613433811973576,tp,1.3550000000000182,1.43100000000004,2.5700000000000363,Tuesday,2024-01-02,0,30,1.0
h01_r60_t3,1704153600000000000,1,1704163390000000000,1704195935000000000,6503,2048.346,2043.267,2043.267,2063.5829999999996,5.078999999999951,0.24816987543132651,sl,-5.078999999999951,5.078999999999951,-10.297999999999902,Tuesday,2024-01-02,1,60,3.0
h02_r15_t3,1704153600000000000,1,1704161890000000000,1704162710000000000,164,2048.017,2045.634,2045.634,2055.1659999999993,2.382999999999811,0.11637282081758918,sl,-2.382999999999811,2.382999999999811,-4.905999999999621,Tuesday,2024-01-02,2,15,3.0
h04_r30_t3,1704153600000000000,1,1704170020000000000,1704172605000000000,514,2049.202,2046.739,2046.739,2056.447,2.4149999999999636,0.11787715687130909,sl,-2.463000000000193,2.463000000000193,-5.066000000000385,Tuesday,2024-01-02,4,30,3.0
h05_r60_t2,1704153600000000000,1,1704176340000000000,1704182645000000000,1261,2048.434,2053.7240000000006,2045.789,2053.7240000000006,2.645000000000209,0.12917379075995744,tp,5.290000000000418,2.645000000000209,10.440000000000836,Tuesday,2024-01-02,5,60,2.0
h06_r60_t3,1704153600000000000,1,1704179035000000000,1704192060000000000,2603,2050.861,2045.859,2045.859,2065.8669999999997,5.001999999999953,0.24400404689638527,sl,-5.001999999999953,5.001999999999953,-10.143999999999906,Tuesday,2024-01-02,6,60,3.0
h13_r30_t3,1704153600000000000,-1,1704202210000000000,1704239995000000000,6720,2044.292,2046.211,2049.83,2027.6779999999999,5.538000000000011,0.270678720292791,session_end,-1.9190000000000964,5.538000000000011,-3.978000000000193,Tuesday,2024-01-02,13,30,3.0
h14_r15_t2,1704153600000000000,-1,1704205120000000000,1704210435000000000,1062,2032.066,2039.98,2039.98,2016.238,7.913999999999987,0.3886573347653832,sl,-7.913999999999987,7.913999999999987,-15.967999999999975,Tuesday,2024-01-02,14,15,2.0
h00_r30_t1,1704240000000000000,-1,1704241800000000000,1704243780000000000,393,2048.971,2045.904,2052.0605,2045.904,3.0670000000000073,0.149679521357394,tp,3.0670000000000073,3.0895000000000437,5.994000000000015,Wednesday,2024-01-03,0,30,1.0
h01_r60_t3,1704240000000000000,1,1704249195000000000,1704285000000000000,7148,2048.884,2042.5785,2042.5785,2067.8005,6.305499999999938,0.30809552695914955,sl,-6.305499999999938,6.305499999999938,-12.750999999999877,Wednesday,2024-01-03,1,60,3.0
h02_r15_t3,1704240000000000000,1,1704249040000000000,1704257745000000000,1728,2047.8035,2052.6229999999996,2046.1970000000001,2052.6229999999996,1.606499999999869,0.07848865969559049,tp,4.819499999999607,1.606499999999869,9.498999999999214,Wednesday,2024-01-03,2,15,3.0
h04_r30_t3,1704240000000000000,1,1704256220000000000,1704273910000000000,3533,2050.8559999999998,2047.9225000000001,2047.9225000000001,2059.6564999999987,2.93349999999964,0.1430417398088375,sl,-2.93349999999964,2.93349999999964,-6.006999999999279,Wednesday,2024-01-03,4,30,3.0
h05_r60_t2,1704240000000000000,-1,1704263855000000000,1704274280000000000,2085,2052.185,2044.5989999999997,2055.978,2044.5989999999997,3.79300000000012,0.18469864490213092,tp,7.58600000000024,3.79300000000012,15.03200000000048,Wednesday,2024-01-03,5,60,2.0
h06_r60_t3,1704240000000000000,-1,1704267810000000000,1704285015000000000,3441,2050.5445,2034.7044999999994,2055.8245,2034.7044999999994,5.2800000000002,0.25724644477375347,tp,15.8400000000006,5.2800000000002,31.5400000000012,Wednesday,2024-01-03,6,60,3.0
