param,trades_tr,net_tr,exp_tr,win_rate_tr,pf_tr,trades_ho,net_ho,exp_ho,win_rate_ho,pf_ho,hour,rng,tgt,both
h00_r15_t1,336,1207.389999999932,3.5934226190474163,49.404761904761905,1.2314268983765913,253,-456.6150000000829,-1.8048023715418295,48.22134387351779,0.967085912245672,0,15,1,False
h00_r15_t2,336,1963.7099999999348,5.844374999999806,34.82142857142857,1.2760405940809674,253,2455.214999999817,9.704407114623782,33.59683794466403,1.1413788615938545,0,15,2,True
h00_r15_t3,336,1451.7499999999834,4.320684523809474,26.488095238095237,1.174331927750266,253,2986.1549999998224,11.802984189722618,27.66798418972332,1.1528202078625551,0,15,3,True
h00_r30_t1,377,1290.204999999938,3.4222944297080584,50.92838196286472,1.1696737324328383,252,5066.689999999898,20.105912698412293,55.952380952380956,1.3146087160080497,0,30,1,True
h00_r30_t2,377,702.1199999999621,1.862387267904409,34.748010610079575,1.0680159354830863,252,8347.449999999857,33.12480158730102,39.682539682539684,1.3854275870841801,0,30,2,True
h00_r30_t3,377,478.8899999999341,1.270265251989215,27.320954907161806,1.0411962739346992,252,15435.484999999862,61.251924603174054,35.714285714285715,1.677671587442459,0,30,3,True
h00_r60_t1,382,1301.4899999999873,3.4070418848167208,51.047120418848166,1.1218255153169956,243,1848.3099999999135,7.6062139917691916,52.2633744855967,1.0890536790875989,0,60,1,True
h00_r60_t2,382,3018.945000000033,7.902997382199039,36.38743455497382,1.2218578415756258,243,8206.199999999893,33.77037037036993,39.91769547325103,1.322798451974079,0,60,2,True
h00_r60_t3,382,799.5950000000698,2.093180628272434,28.272251308900525,1.0507043387801562,243,13824.899999999869,56.89259259259205,37.4485596707819,1.530733532793326,0,60,3,True
h01_r15_t1,379,77.21499999998453,0.20373350923478767,48.02110817941953,1.0076123915913204,249,273.6199999999271,1.0988755020077392,51.80722891566265,1.0136324752045058,1,15,1,True
h01_r15_t2,379,-1139.470000000029,-3.0065171503958545,31.926121372031663,0.9180069884782187,249,4130.544999999965,16.58853413654604,38.152610441767074,1.1698707548710061,1,15,2,False
