year,hour,ticks,avg_spread_points
2024,0,1125811,5.1991
2024,1,2089172,5.0505
2024,2,1575094,5.0542
2024,3,1311569,5.0718
2024,4,1022614,5.1159
2024,5,1391388,5.053
2024,6,1703859,5.0127
2024,7,1646651,5.0636
2024,8,1660349,5.0824
2024,9,1514621,5.0751
2024,10,1427038,5.0761
2024,11,1543206,5.0651
2024,12,2496638,5.2323
2024,13,3811452,5.1286
2024,14,3781746,5.0486
2024,15,2884854,5.0525
2024,16,2041356,5.0764
2024,17,1731753,5.1336
2024,18,1536152,5.1658
2024,19,1375731,5.1486
2024,20,944064,5.1341
2024,21,220986,5.0229
2024,22,410942,10.3745
2024,23,710331,7.6895
2025,0,2866446,3.7258
2025,1,4322596,3.7128
2025,2,3136562,3.7064
2025,3,2523854,3.7082
2025,4,1934794,3.7097
2025,5,2767064,3.7196
2025,6,3200073,3.7055
2025,7,3072426,3.7141
2025,8,3052673,3.7339
2025,9,2763530,3.8969
2025,10,2598195,3.7241
2025,11,2737419,3.7069
2025,12,3947760,3.7064
2025,13,6074788,3.7206
2025,14,6398658,3.7219
2025,15,5194919,3.7109
2025,16,3941086,3.7047
2025,17,3250979,3.7053
2025,18,2842921,3.7737
2025,19,2589694,3.7635
2025,20,1944655,3.8479
2025,21,483385,3.7515
2025,22,1287695,3.7814
2025,23,1989802,3.7662
2026,0,2651553,9.3118
2026,1,4062423,9.0947
2026,2,2782069,8.5595
2026,3,2011842,8.338
2026,4,1433944,8.3218
2026,5,2277266,8.6144
2026,6,2609417,8.6006
2026,7,2324899,8.7517
2026,8,2341605,8.5754
2026,9,2134835,8.4358
2026,10,1907119,8.8263
2026,11,2245149,9.6639
2026,12,2890867,9.3152
2026,13,4770220,9.2197
2026,14,5060937,9.1232
2026,15,4348474,8.7025
2026,16,3222943,8.8532
2026,17,2695878,8.6969
2026,18,2605225,8.3744
2026,19,2456899,8.4379
2026,20,1842707,8.2114
2026,21,550642,6.8508
2026,22,772483,12.5647
2026,23,1444550,9.5773
