minute_of_day,time,2024,2025,2026
0,00:00,5.3418,3.7128,9.9515
1,00:01,5.2702,3.7145,9.9859
2,00:02,5.2407,4.0414,9.6548
3,00:03,5.2397,3.7172,9.508
4,00:04,5.1903,3.7051,9.4807
5,00:05,5.2122,3.7271,9.4488
6,00:06,5.1702,3.7048,9.5834
7,00:07,5.2048,3.7231,9.3022
8,00:08,5.2181,3.7065,9.2304
9,00:09,5.1572,3.7025,9.4322
10,00:10,5.2284,3.7714,9.2966
11,00:11,5.2099,3.7156,9.3844
12,00:12,5.2515,3.7026,9.2991
13,00:13,5.2127,3.7021,9.5023
14,00:14,5.2507,3.7017,9.5681
15,00:15,5.2709,3.7063,9.6896
16,00:16,5.1906,3.7027,9.6734
17,00:17,5.2283,3.7055,9.6403
18,00:18,5.2298,3.7086,9.4456
19,00:19,5.2171,3.7079,9.3824
20,00:20,5.2526,3.7092,9.5821
21,00:21,5.172,3.712,9.363
22,00:22,5.2039,3.9418,9.2999
23,00:23,5.2158,4.0614,9.2718
24,00:24,5.1335,3.8058,9.4833
25,00:25,5.1981,3.7024,9.42
26,00:26,5.2718,3.7031,9.691
27,00:27,5.2865,3.7038,9.4308
28,00:28,5.2753,3.7027,9.4255
29,00:29,5.2605,3.7019,9.2439
30,00:30,5.2135,3.7029,9.366
31,00:31,5.2394,3.7075,9.0911
32,00:32,5.2431,3.7021,9.2161
33,00:33,5.2009,3.7103,8.9683
34,00:34,5.1944,3.7015,9.2727
35,00:35,5.1694,3.7018,9.133
36,00:36,5.2335,3.7034,9.2167
37,00:37,5.1839,3.7056,9.3643
38,00:38,5.1875,3.707,9.4887
39,00:39,5.2188,3.7032,9.6416
40,00:40,5.2249,3.7024,9.2674
41,00:41,5.2017,3.7018,8.7174
42,00:42,5.2314,3.7025,9.2008
43,00:43,5.1433,3.7167,9.0763
44,00:44,5.133,3.7043,8.6672
45,00:45,5.1559,3.7039,8.8112
46,00:46,5.1436,3.7034,9.2061
47,00:47,5.1419,3.7031,8.9281
48,00:48,5.1666,3.7023,8.7666
49,00:49,5.1394,3.7033,8.8624
50,00:50,5.1352,3.7061,8.8924
51,00:51,5.1352,3.714,8.8579
52,00:52,5.1517,3.7031,9.3058
53,00:53,5.1427,3.7022,9.1662
