replicate,candidate,windows,trades,days,win_rate,pf,net,per_trade,rr,maxDD,sharpe
rep2026_1,A_incumbent,8,1172,151,38.13993174061434,1.22446088053758,5640.775999999966,4.812948805460724,1.9859824125050236,-1293.5070000000233,3.2543699325064517
rep2026_1,B_top8,8,1150,151,39.130434782608695,1.542635225031006,12884.569000000003,11.203973043478266,2.399654794492676,-824.6149999999961,4.723610599940301
rep2026_1,C_stable,8,1142,151,42.90718038528897,1.5079589865786547,11615.42500000002,10.171125218914204,2.006508692345475,-582.3320000000003,4.997907489726956
rep2026_1,D_pruned,7,1021,151,39.373163565132224,1.335868347134609,6952.723999999978,6.809719882468152,2.056971410140107,-1039.0820000000222,3.9152051901561866
rep2026_2,A_incumbent,8,1175,152,35.57446808510638,1.2986161226299453,8654.031999999985,7.365133617021265,2.351800011557102,-763.2609999999986,4.208807911202832
rep2026_2,B_top8,8,1158,152,42.05526770293609,1.8065509154530113,21913.05600000004,18.923191709844595,2.489108140182691,-861.3220000000001,6.119180400010114
rep2026_2,C_stable,8,1150,152,43.73913043478261,1.6839616141580935,18235.868000000017,15.857276521739145,2.1660500285492774,-935.3329999999969,5.654134707728929
rep2026_2,D_pruned,7,1025,152,36.68292682926829,1.4340488202662645,10426.21899999998,10.171920975609742,2.475259798810653,-713.3890000000029,5.031973988770171
rep2026_3,A_incumbent,8,1191,152,35.936188077246015,1.1079839999392747,2901.9510000000714,2.436566750629785,1.9752144671814642,-1401.9159999999974,1.7756023248915946
rep2026_3,B_top8,8,1180,152,36.94915254237288,1.3238565584909432,8356.486000000052,7.081767796610215,2.259057980544178,-1524.8879999999917,3.5207333193621633
rep2026_3,C_stable,8,1168,152,40.23972602739726,1.3221374100837164,7953.275000000038,6.809310787671269,1.9635147068902852,-1477.580999999991,3.3987224674907264
rep2026_3,D_pruned,7,1039,152,36.66987487969201,1.1271824600089337,2939.207000000051,2.82888065447551,1.9466825687293396,-1266.8729999999941,1.86704668892355
rep2026_4,A_incumbent,8,1184,152,36.317567567567565,1.1079306717611246,2902.522999999921,2.4514552364864226,1.942743550018344,-2027.5090000000146,1.791909549764759
rep2026_4,B_top8,8,1160,152,41.37931034482759,1.5904197354308174,14036.933999999954,12.100805172413757,2.253094625193658,-548.0679999999993,6.1842866951853726
rep2026_4,C_stable,8,1151,152,43.87489139878367,1.4571293886562469,10627.306999999935,9.23310773240655,1.8639714555879912,-540.618000000004,5.110083558760073
rep2026_4,D_pruned,7,1032,152,37.8875968992248,1.2128348476364184,4760.230999999909,4.612626937984412,1.9883046990663535,-1826.4930000000222,3.0681684332775627
rep2026_5,A_incumbent,8,1175,152,38.12765957446808,1.2418860148728141,6209.064999999973,5.284310638297852,2.015292707170839,-1250.017000000007,3.3873567782671548
rep2026_5,B_top8,8,1151,152,39.61772371850565,1.5430189321640162,13260.108000000027,11.52051086012166,2.3517503461710336,-728.5529999999962,5.213185635961812
rep2026_5,C_stable,8,1141,152,42.681858019281336,1.4547018806883403,10809.917000000029,9.47407274320774,1.9535421559962516,-986.5000000000055,4.871724294611772
rep2026_5,D_pruned,7,1024,152,39.6484375,1.344904361006727,7330.53899999997,7.158729492187473,2.0471696923698453,-923.5199999999968,4.027192127387073
regime_2026,A_incumbent,8,1168,151,36.3013698630137,1.154919747808189,4009.81200000001,3.4330582191780916,2.0265572933238034,-1942.8139999999967,2.19149632364429
regime_2026,B_top8,8,1153,151,38.42150910667823,1.5046640150765567,12177.630999999954,10.561692107545493,2.4115382634409825,-699.401999999991,4.311369635340421
regime_2026,C_stable,8,1140,151,40.43859649122807,1.376352497463336,8986.11099999996,7.882553508771897,2.0272089930099897,-800.7640000000065,4.015824191151006
regime_2026,D_pruned,7,1019,151,37.78213935230618,1.26906642242306,5757.860000000015,5.650500490677154,2.0898392514707007,-1506.4109999999964,3.028993608204946
