,ORIGINAL,ORIGINAL,TUNED,TUNED
,close,trough,close,trough
xt,,,,
2024-01-02,-1288.0500000001357,-1288.0500000001357,-1211.549999999992,-1211.549999999992
2024-01-03,-570.7499999999791,-570.7499999999791,-938.4999999998208,-1208.549999999885
2024-01-04,-1187.9999999999663,-1187.9999999999663,-936.4000000000979,-1036.6000000000868
2024-01-05,2362.350000000102,-1139.699999999978,456.25000000004184,-1107.7499999999718
2024-01-08,1117.5499999998683,-352.9999999999991,2162.3499999999203,-367.70000000000164
2024-01-09,-1266.450000000078,-1557.450000000038,-2028.5000000000343,-2398.750000000038
2024-01-10,-0.599999999963984,-1321.9999999999618,-573.1500000000133,-1780.6999999999923
2024-01-11,-1329.4499999999523,-1329.4499999999523,-34.7999999999538,-655.1499999999942
2024-01-12,444.5500000000484,-966.3999999999905,2458.79999999997,-1033.450000000017
2024-01-15,-74.89999999986685,-609.4499999999352,-1003.599999999964,-1248.449999999977
2024-01-16,-742.0999999999858,-742.0999999999858,2057.7500000000064,-924.6000000000167
2024-01-17,2073.50000000008,-446.6999999999298,259.8500000000704,-2044.199999999969
2024-01-18,412.350000000014,-759.8000000000002,335.7000000000162,-1678.599999999974
2024-01-19,280.5500000000611,-711.9500000000289,40.59999999999127,-1105.4500000000262
2024-01-22,1258.5499999999674,-120.0,-355.5000000000782,-1079.6500000000287
2024-01-23,-437.30000000007385,-437.30000000007385,1147.249999999868,-343.1000000000149
2024-01-24,-226.449999999978,-557.1499999999769,288.2000000000253,-1154.250000000009
2024-01-25,-1257.7500000000218,-1257.7500000000218,-1295.650000000007,-1295.650000000007
2024-01-26,-997.99999999998,-1597.9999999999964,-1470.849999999954,-1499.1999999999707
2024-01-29,-455.6999999999571,-551.4499999999625,436.700000000038,-333.1499999999887
2024-01-30,-569.9000000000078,-970.7499999999864,763.0499999999493,-781.3999999999796
2024-01-31,2607.250000000018,-304.1000000000404,-509.6500000000142,-847.1000000000013
2024-02-01,3736.44999999999,-120.0,2386.2999999999765,-90.0
2024-02-02,1001.7499999998554,-1513.0999999999967,-1423.7499999999764,-1724.099999999973
2024-02-05,902.8000000000012,-498.15000000001146,3199.44999999993,-934.0499999999965
2024-02-06,-1056.6499999999687,-1561.049999999972,-1621.00000000003,-1910.1000000000315
2024-02-07,-233.35000000002492,-1057.6500000000124,-1134.8499999999894,-1134.8499999999894
2024-02-08,-232.79999999993015,-880.8999999999687,-299.39999999997235,-1117.249999999981
2024-02-09,-1215.499999999981,-1287.2499999999718,-1041.099999999964,-1221.6999999999553
2024-02-12,34.75000000000182,-479.5500000000111,-1729.950000000037,-1729.950000000037
2024-02-13,-46.39999999995507,-153.9499999999898,158.60000000008858,-575.7499999999491
2024-02-14,-952.9000000000487,-952.9000000000487,-1486.2500000000018,-1486.2500000000018
2024-02-15,-337.8000000000393,-683.349999999994,-26.099999999977626,-762.8999999999751
2024-02-16,-1212.9499999999334,-1212.9499999999334,-185.1999999999898,-1205.5999999999783
2024-02-19,-1793.399999999975,-1793.399999999975,-2108.9499999999853,-2108.9499999999853
2024-02-20,1604.7999999999993,-286.70000000001073,1929.5499999999656,-434.5499999999938
2024-02-21,-222.80000000000746,-692.5000000000227,-199.900000000006,-1050.7500000000136
2024-02-22,768.9999999999363,-439.700000000008,-1053.9500000000353,-1053.9500000000353
2024-02-23,-2012.349999999976,-2012.349999999976,-1162.7000000000244,-1906.9000000000187
2024-02-26,-1609.7499999999663,-1609.7499999999663,-1712.2499999999554,-1712.2499999999554
2024-02-27,-105.85000000003856,-651.050000000032,-410.3000000000102,-620.9000000000069
2024-02-28,-138.05000000004748,-210.6000000000231,-1624.8500000000213,-1624.8500000000213
2024-02-29,-263.1499999999087,-905.9999999999854,-1621.4500000000307,-1621.4500000000307
2024-03-01,-1668.4999999999754,-1668.4999999999754,1980.6999999999525,-734.4500000000126
2024-03-04,4280.2500000000455,-328.54999999999745,4947.399999999967,-329.6500000000033
2024-03-05,-79.30000000017208,-1331.199999999988,658.0499999999538,-1360.5500000000193
2024-03-06,-141.29999999997926,-989.8000000000084,-2355.2500000000728,-2355.2500000000728
2024-03-07,-856.9999999997672,-856.9999999997672,-127.69999999989705,-875.1499999998487
2024-03-08,-3364.749999999982,-3364.749999999982,-830.1500000000524,-1479.499999999969
2024-03-11,-906.4500000001099,-1199.100000000055,-2204.2000000000407,-2204.2000000000407
2024-03-12,1142.4999999999943,-456.6500000000051,885.2500000000836,-676.2999999999865
2024-03-13,693.4500000000062,-1337.950000000028,1071.1999999999953,-1279.1500000000342
2024-03-14,2610.2999999999374,-311.24999999997453,2167.3999999999032,-645.2500000000273
2024-03-15,-2353.050000000034,-2353.050000000034,-80.90000000011423,-642.1999999999971
2024-03-18,-1153.3500000000697,-1153.3500000000697,26.20000000001346,-269.9499999999498
2024-03-19,1443.0999999999349,-359.1999999999498,1591.450000000028,-466.9999999999727
2024-03-20,-1853.050000000099,-1853.050000000099,-2591.3500000000604,-2591.3500000000604
2024-03-21,193.65000000006694,-2216.350000000048,-3293.8000000000397,-3293.8000000000397
2024-03-22,-408.24999999997635,-2326.949999999999,1013.4500000000537,-619.7999999999811
2024-03-25,-3357.900000000041,-3357.900000000041,-3258.950000000053,-3659.400000000025
2024-03-26,1211.3000000000447,-523.5999999999585,-324.90000000000873,-1149.5999999999804
2024-03-27,993.649999999956,-1347.0999999999983,1487.4500000000317,-1115.449999999988
2024-03-28,652.5999999999603,-349.00000000006366,4070.199999999837,-511.70000000007167
2024-04-01,3334.3999999997995,-120.0,912.5000000000164,-3025.850000000008
2024-04-02,3573.700000000303,-731.6999999999862,4848.45000000009,-692.5499999999483
2024-04-03,-1718.3500000000786,-1718.3500000000786,1676.599999999913,-2269.2499999999727
2024-04-04,-1238.1999999999389,-1238.1999999999389,-2377.149999999896,-2377.149999999896
2024-04-05,8096.749999999971,-105.0,2618.399999999854,-591.4000000000415
2024-04-08,-445.2000000000007,-2154.3000000000393,1609.4000000001124,-1640.299999999983
2024-04-09,-34.24999999988722,-1140.4000000000233,85.34999999994216,-825.6000000000349
2024-04-10,-614.1999999998243,-614.1999999998243,657.7000000001553,-2463.249999999978
2024-04-11,-114.19999999991524,-162.74999999997453,2082.30000000012,-805.0999999998767
2024-04-12,6980.650000000127,-507.1499999999869,7871.050000000101,-105.0
2024-04-15,4921.199999999884,-1945.300000000041,137.09999999996035,-2772.700000000052
2024-04-16,-4818.700000000059,-4818.700000000059,-3817.000000000102,-3817.000000000102
2024-04-17,-3398.950000000037,-3398.950000000037,-486.74999999998727,-3334.55000000001
2024-04-18,640.7500000000018,-891.0999999999458,1121.749999999971,-903.8999999999705
2024-04-19,2609.4500000001026,-105.0,-910.9499999999862,-1227.4499999999698
2024-04-22,5169.750000000109,-105.0,10415.050000000036,-90.0
2024-04-23,-3949.450000000028,-4703.499999999976,-4896.549999999988,-4896.549999999988
2024-04-24,-4095.29999999993,-4095.29999999993,-4902.449999999957,-4902.449999999957
2024-04-25,1036.649999999849,-739.9500000000426,-207.89999999995598,-977.0000000000018
2024-04-26,2176.999999999884,-339.7499999999891,1848.9499999999389,-367.1999999999771
2024-04-29,-2612.250000000064,-3021.3000000000598,-3530.4000000000124,-3939.450000000008
2024-04-30,6400.299999999992,-351.05000000003383,7993.400000000061,-423.4000000000033
2024-05-01,2836.74999999996,-556.1500000000233,-103.70000000021173,-1730.000000000071
2024-05-02,3812.049999999976,-392.29999999997926,5115.749999999976,-971.1999999999935
2024-05-03,-3515.5500000000084,-3515.5500000000084,-1959.0000000000184,-1960.7000000000044
2024-05-06,4017.3000000001557,-105.0,6310.250000000149,-90.0
2024-05-07,875.4999999999872,-1107.4000000000215,1488.4500000000537,-1318.3499999999876
2024-05-08,-173.60000000001128,-181.3500000000313,-2742.449999999966,-2742.449999999966
2024-05-09,2057.550000000014,-708.5999999999894,-1226.3499999998949,-1226.3499999998949
2024-05-10,-778.2999999999683,-1288.6999999999662,2750.0999999997894,-958.1499999999887
2024-05-13,5374.249999999869,-661.9500000000553,7366.450000000119,-105.0
2024-05-14,-3672.6000000000804,-3672.6000000000804,-1998.7499999999309,-2546.30000000001
2024-05-15,3270.0999999999985,-409.0500000000193,3390.5000000000164,-1057.399999999985
2024-05-16,-905.4499999999971,-2205.200000000008,274.2000000000608,-2060.350000000024
