,ORIGINAL,ORIGINAL,TUNED,TUNED
,close,trough,close,trough
xt,,,,
2024-01-02,-1168.0500000001357,-1168.0500000001357,-1106.549999999992,-1106.549999999992
2024-01-03,-465.7499999999791,-465.7499999999791,-833.4999999998208,-1103.5499999998847
2024-01-04,-1067.9999999999663,-1067.9999999999663,-831.4000000000979,-931.6000000000868
2024-01-05,2467.350000000102,-1034.699999999978,561.2500000000418,-1002.7499999999718
2024-01-08,1237.5499999998683,-232.9999999999991,2267.3499999999203,-262.70000000000164
2024-01-09,-1146.450000000078,-1437.450000000038,-1923.5000000000346,-2293.750000000038
2024-01-10,119.40000000003602,-1201.9999999999618,-468.1500000000133,-1675.6999999999925
2024-01-11,-1209.4499999999525,-1209.4499999999525,70.2000000000462,-550.1499999999942
2024-01-12,564.5500000000484,-846.3999999999905,2563.79999999997,-928.4500000000171
2024-01-15,45.10000000013315,-489.44999999993524,-898.599999999964,-1143.449999999977
2024-01-16,-637.0999999999858,-637.0999999999858,2162.7500000000064,-819.6000000000167
2024-01-17,2193.50000000008,-326.6999999999298,364.8500000000704,-1939.199999999969
2024-01-18,532.350000000014,-639.8000000000002,440.7000000000162,-1573.599999999974
2024-01-19,400.5500000000611,-591.9500000000289,145.59999999999127,-1000.4500000000262
2024-01-22,1378.5499999999674,0.0,-250.50000000007822,-974.6500000000287
2024-01-23,-317.30000000007385,-317.30000000007385,1252.2499999998681,-238.10000000001492
2024-01-24,-106.44999999997799,-437.1499999999769,393.2000000000253,-1049.250000000009
2024-01-25,-1197.7500000000218,-1197.7500000000218,-1205.650000000007,-1205.650000000007
2024-01-26,-877.99999999998,-1477.9999999999964,-1365.849999999954,-1394.1999999999707
2024-01-29,-335.6999999999571,-431.44999999996253,541.700000000038,-228.14999999998872
2024-01-30,-449.9000000000078,-850.7499999999864,868.0499999999493,-676.3999999999796
2024-01-31,2712.250000000018,-199.10000000004038,-404.6500000000142,-742.1000000000013
2024-02-01,3856.44999999999,0.0,2476.2999999999765,0.0
2024-02-02,1121.7499999998554,-1393.0999999999967,-1318.7499999999764,-1619.099999999973
2024-02-05,1022.8000000000011,-378.15000000001146,3304.44999999993,-829.0499999999965
2024-02-06,-936.6499999999687,-1441.049999999972,-1516.00000000003,-1805.1000000000313
2024-02-07,-143.35000000002492,-967.6500000000124,-1044.8499999999894,-1044.8499999999894
2024-02-08,-112.79999999993015,-760.8999999999687,-194.39999999997235,-1012.2499999999809
2024-02-09,-1125.499999999981,-1197.2499999999718,-936.099999999964,-1116.6999999999553
2024-02-12,124.75000000000182,-389.5500000000111,-1639.950000000037,-1639.950000000037
2024-02-13,43.60000000004493,-63.949999999989814,263.6000000000886,-470.74999999994907
2024-02-14,-847.9000000000487,-847.9000000000487,-1396.2500000000018,-1396.2500000000018
2024-02-15,-217.8000000000393,-563.349999999994,78.90000000002237,-657.8999999999751
2024-02-16,-1092.9499999999334,-1092.9499999999334,-80.19999999998981,-1100.5999999999785
2024-02-19,-1673.399999999975,-1673.399999999975,-2003.9499999999853,-2003.9499999999853
2024-02-20,1724.7999999999993,-166.70000000001073,2019.5499999999656,-344.5499999999938
2024-02-21,-102.80000000000746,-572.5000000000227,-94.900000000006,-945.7500000000136
2024-02-22,888.9999999999363,-319.700000000008,-948.9500000000353,-948.9500000000353
2024-02-23,-1922.3499999999758,-1922.3499999999758,-1072.7000000000244,-1816.9000000000187
2024-02-26,-1504.7499999999663,-1504.7499999999663,-1622.2499999999554,-1622.2499999999554
2024-02-27,-15.850000000038563,-561.050000000032,-305.3000000000102,-515.9000000000069
2024-02-28,-33.050000000047476,-105.6000000000231,-1534.8500000000213,-1534.8500000000213
2024-02-29,-158.1499999999087,-800.9999999999854,-1516.4500000000307,-1516.4500000000307
2024-03-01,-1563.4999999999754,-1563.4999999999754,2085.6999999999525,-629.4500000000126
2024-03-04,4400.2500000000455,-208.54999999999745,5052.399999999967,-224.65000000000327
2024-03-05,40.699999999827924,-1211.199999999988,763.0499999999538,-1255.5500000000193
2024-03-06,-21.299999999979264,-869.8000000000084,-2250.2500000000728,-2250.2500000000728
2024-03-07,-736.9999999997672,-736.9999999997672,-37.699999999897045,-785.1499999998487
2024-03-08,-3244.749999999982,-3244.749999999982,-725.1500000000524,-1374.499999999969
2024-03-11,-786.4500000001099,-1079.100000000055,-2099.2000000000407,-2099.2000000000407
2024-03-12,1262.4999999999945,-336.6500000000051,990.2500000000837,-571.2999999999865
2024-03-13,813.4500000000062,-1217.950000000028,1176.1999999999953,-1174.1500000000342
2024-03-14,2730.2999999999374,-191.24999999997453,2272.3999999999032,-540.2500000000273
2024-03-15,-2248.050000000034,-2248.050000000034,24.099999999885767,-537.1999999999971
2024-03-18,-1033.3500000000695,-1033.3500000000695,131.20000000001346,-164.9499999999498
2024-03-19,1563.0999999999349,-239.1999999999498,1696.450000000028,-361.9999999999727
2024-03-20,-1733.0500000000993,-1733.0500000000993,-2486.3500000000604,-2486.3500000000604
2024-03-21,298.65000000006694,-2111.3500000000477,-3203.8000000000393,-3203.8000000000393
2024-03-22,-288.24999999997635,-2206.949999999999,1118.4500000000535,-514.7999999999811
2024-03-25,-3237.9000000000415,-3237.9000000000415,-3153.9500000000535,-3554.400000000025
2024-03-26,1301.3000000000447,-433.5999999999585,-234.90000000000873,-1059.5999999999804
2024-03-27,1113.649999999956,-1227.0999999999985,1592.4500000000317,-1010.449999999988
2024-03-28,772.5999999999603,-229.00000000006366,4175.199999999837,-406.70000000007167
2024-04-01,3454.3999999997995,0.0,1002.5000000000164,-2935.8500000000076
2024-04-02,3693.7000000003027,-611.6999999999862,4953.45000000009,-587.5499999999483
2024-04-03,-1598.3500000000786,-1598.3500000000786,1781.599999999913,-2164.2499999999727
2024-04-04,-1118.1999999999389,-1118.1999999999389,-2272.149999999896,-2272.149999999896
2024-04-05,8201.74999999997,0.0,2708.399999999854,-501.4000000000415
2024-04-08,-325.2000000000007,-2034.3000000000393,1699.4000000001124,-1550.299999999983
2024-04-09,70.75000000011278,-1035.4000000000233,175.34999999994216,-735.6000000000349
2024-04-10,-494.1999999998243,-494.1999999998243,762.7000000001553,-2358.249999999978
2024-04-11,5.800000000084765,-42.749999999974534,2187.3000000001193,-700.0999999998767
2024-04-12,7100.650000000127,-387.1499999999869,7976.050000000101,0.0
2024-04-15,5041.199999999884,-1825.300000000041,242.09999999996035,-2667.7000000000517
2024-04-16,-4698.700000000059,-4698.700000000059,-3712.000000000102,-3712.000000000102
2024-04-17,-3278.950000000037,-3278.950000000037,-381.74999999998727,-3229.55000000001
2024-04-18,760.7500000000018,-771.0999999999458,1226.749999999971,-798.8999999999705
2024-04-19,2714.4500000001026,0.0,-820.9499999999862,-1137.4499999999698
2024-04-22,5274.750000000109,0.0,10505.050000000036,0.0
2024-04-23,-3844.450000000028,-4598.499999999976,-4821.549999999988,-4821.549999999988
2024-04-24,-3975.29999999993,-3975.29999999993,-4797.449999999957,-4797.449999999957
2024-04-25,1156.6499999998487,-619.9500000000426,-117.89999999995598,-887.0000000000018
2024-04-26,2296.9999999998836,-219.7499999999891,1938.9499999999389,-277.1999999999771
2024-04-29,-2492.2500000000637,-2901.3000000000593,-3425.4000000000124,-3834.450000000008
2024-04-30,6520.299999999992,-231.05000000003383,8098.4000000000615,-318.4000000000033
2024-05-01,2956.74999999996,-436.1500000000233,1.2999999997882696,-1625.000000000071
2024-05-02,3932.0499999999756,-272.29999999997926,5220.749999999976,-866.1999999999935
2024-05-03,-3395.5500000000084,-3395.5500000000084,-1854.0000000000182,-1855.7000000000044
2024-05-06,4122.300000000156,0.0,6400.250000000149,0.0
2024-05-07,995.4999999999873,-987.4000000000215,1593.4500000000535,-1213.3499999999876
2024-05-08,-53.60000000001128,-61.35000000003129,-2637.449999999966,-2637.449999999966
2024-05-09,2177.550000000014,-588.5999999999894,-1136.3499999998949,-1136.3499999998949
2024-05-10,-658.2999999999683,-1168.6999999999662,2855.0999999997894,-853.1499999999887
2024-05-13,5494.249999999869,-541.9500000000553,7471.450000000119,0.0
2024-05-14,-3552.6000000000804,-3552.6000000000804,-1893.7499999999309,-2441.30000000001
2024-05-15,3375.0999999999985,-304.0500000000193,3495.5000000000164,-952.3999999999851
2024-05-16,-785.4499999999971,-2085.200000000008,379.20000000006075,-1955.350000000024
