,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL
,none,none,none,real,real,real,fomc_wed,fomc_wed,fomc_wed,fomc_all,fomc_all,fomc_all,am_all,am_all,am_all,all_all,all_all,all_all,none,none,none,real,real,real,fomc_wed,fomc_wed,fomc_wed,fomc_all,fomc_all,fomc_all,am_all,am_all,am_all,all_all,all_all,all_all
,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades
xt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,-1106.549999999992,-1106.549999999992,7.0,-1106.549999999992,-1106.549999999992,7.0,-1106.549999999992,-1106.549999999992,7.0,-1106.549999999992,-1106.549999999992,7.0,-697.050000000012,-697.050000000012,7.0,-697.050000000012,-697.050000000012,7.0,-1168.0500000001357,-1168.0500000001357,8.0,-1168.0500000001357,-1168.0500000001357,8.0,-1168.0500000001357,-1168.0500000001357,8.0,-1168.0500000001357,-1168.0500000001357,8.0,-767.5500000000957,-767.5500000000957,7.0,-767.5500000000957,-767.5500000000957,7.0
2024-01-03,-833.4999999998208,-1103.5499999998847,7.0,-833.4999999998208,-1103.5499999998847,7.0,-833.4999999998208,-1103.5499999998847,7.0,-833.4999999998208,-1103.5499999998847,7.0,-833.4999999998208,-1103.5499999998847,7.0,-833.4999999998208,-1103.5499999998847,7.0,-465.7499999999791,-465.7499999999791,7.0,-465.7499999999791,-465.7499999999791,7.0,-465.7499999999791,-465.7499999999791,7.0,-465.7499999999791,-465.7499999999791,7.0,-465.7499999999791,-465.7499999999791,7.0,-465.7499999999791,-465.7499999999791,7.0
2024-01-04,-831.4000000000979,-931.6000000000868,7.0,-831.4000000000979,-931.6000000000868,7.0,-831.4000000000979,-931.6000000000868,7.0,-924.5000000000791,-931.6000000000868,7.0,-253.60000000007312,-419.6000000000686,7.0,-346.7000000000544,-419.6000000000686,7.0,-1067.9999999999663,-1067.9999999999663,8.0,-1067.9999999999663,-1067.9999999999663,8.0,-1067.9999999999663,-1067.9999999999663,8.0,-1067.9999999999663,-1067.9999999999663,8.0,-185.19999999996253,-351.7500000000282,7.0,-185.19999999996253,-351.7500000000282,7.0
2024-01-05,561.2500000000418,-1002.7499999999718,7.0,-465.3999999999987,-1002.7499999999718,7.0,561.2500000000418,-1002.7499999999718,7.0,690.7500000000491,-1002.7499999999718,7.0,-465.3999999999987,-1002.7499999999718,7.0,-335.89999999999145,-1002.7499999999718,7.0,2467.350000000102,-1034.699999999978,7.0,707.6000000000322,-1034.699999999978,6.0,2467.350000000102,-1034.699999999978,7.0,2467.350000000102,-1034.699999999978,7.0,707.6000000000322,-1034.699999999978,6.0,707.6000000000322,-1034.699999999978,6.0
2024-01-08,2267.3499999999203,-262.70000000000164,7.0,2267.3499999999203,-262.70000000000164,7.0,2267.3499999999203,-262.70000000000164,7.0,2187.9499999999334,-262.70000000000164,7.0,3590.999999999941,-262.70000000000164,7.0,3511.599999999954,-262.70000000000164,7.0,1237.5499999998683,-232.9999999999991,8.0,1237.5499999998683,-232.9999999999991,8.0,1237.5499999998683,-232.9999999999991,8.0,1237.5499999998683,-232.9999999999991,8.0,2561.199999999889,-232.9999999999991,8.0,2561.199999999889,-232.9999999999991,8.0
2024-01-09,-1923.5000000000346,-2293.750000000038,7.0,-1923.5000000000346,-2293.750000000038,7.0,-1923.5000000000346,-2293.750000000038,7.0,-1776.000000000021,-2293.750000000038,7.0,-1314.050000000042,-1684.3000000000457,7.0,-1166.5500000000284,-1684.3000000000457,7.0,-1146.450000000078,-1437.450000000038,8.0,-1146.450000000078,-1437.450000000038,8.0,-1146.450000000078,-1437.450000000038,8.0,-1146.450000000078,-1437.450000000038,8.0,-1502.2500000000773,-1577.3000000000457,8.0,-1502.2500000000773,-1577.3000000000457,8.0
2024-01-10,-468.1500000000133,-1675.6999999999925,7.0,-468.1500000000133,-1675.6999999999925,7.0,-360.85000000002674,-1675.6999999999925,7.0,-360.85000000002674,-1675.6999999999925,7.0,-468.1500000000133,-1675.6999999999925,7.0,-360.85000000002674,-1675.6999999999925,7.0,119.40000000003602,-1201.9999999999618,8.0,119.40000000003602,-1201.9999999999618,8.0,226.70000000002256,-1201.9999999999618,8.0,226.70000000002256,-1201.9999999999618,8.0,119.40000000003602,-1201.9999999999618,8.0,226.70000000002256,-1201.9999999999618,8.0
