rule,portfolio,trades,win_rate,pf,gross,swap,net,per_trade,held_at_roll,maxDD,sharpe
halt-0m,ORIGINAL,5192,37.40369799691833,1.1963670202729793,11896.708000000024,0.0,11896.708000000024,2.2913536209553205,0,-1376.380999999994,2.464329822996279
halt-0m,TUNED,4501,34.34792268384803,1.2151748913789044,13217.759999999977,0.0,13217.759999999977,2.9366274161297437,0,-2049.2349999999806,2.0056996845093216
halt-2m,ORIGINAL,5192,37.34591679506934,1.1944608063732811,11783.934000000014,0.0,11783.934000000014,2.2696328967642554,0,-1374.8009999999958,2.4479847432556996
halt-2m,TUNED,4501,34.3701399688958,1.2137538148120954,13134.249999999964,0.0,13134.249999999964,2.9180737613863506,0,-2082.8989999999776,1.9953003607570448
halt-5m,ORIGINAL,5192,37.384437596302,1.195684652876976,11851.632000000012,0.0,11851.632000000012,2.2826718027735002,0,-1367.3389999999927,2.4677184734775115
halt-5m,TUNED,4501,34.436791824039105,1.2146479990737842,13170.66899999996,0.0,13170.66899999996,2.926165074427896,0,-2053.426999999976,2.005635097238979
halt-8m,ORIGINAL,5192,37.48073959938367,1.1936075226499367,11718.353000000036,0.0,11718.353000000036,2.2570017334360624,0,-1361.6189999999915,2.4441795094759384
halt-8m,TUNED,4501,34.45900910908687,1.2092350757413177,12837.552999999978,0.0,12837.552999999978,2.85215574316818,0,-2050.4629999999743,1.9618818989153477
halt-10m,ORIGINAL,5192,37.5,1.1926290802418753,11656.567000000035,0.0,11656.567000000035,2.245101502311255,0,-1355.070999999989,2.4316300664519943
halt-10m,TUNED,4501,34.41457453899133,1.2060030900819014,12632.387999999986,0.0,12632.387999999986,2.80657365029993,0,-2079.9869999999755,1.9349886701201666
halt-15m,ORIGINAL,5192,37.40369799691833,1.188953093895462,11427.69700000002,0.0,11427.69700000002,2.201020223420651,0,-1359.0169999999925,2.3950776587004348
halt-15m,TUNED,4501,34.2368362586092,1.2013430267145442,12347.583999999988,0.0,12347.583999999988,2.743297933792488,0,-2103.103999999983,1.897571350692965
halt-20m,ORIGINAL,5192,37.461479198767336,1.1877385883469065,11351.028000000033,0.0,11351.028000000033,2.186253466872117,0,-1361.2009999999973,2.379974972666688
halt-20m,TUNED,4501,34.34792268384803,1.200284344576035,12284.10599999999,0.0,12284.10599999999,2.7291948455898667,0,-2095.169999999982,1.8867086848533958
halt-25m,ORIGINAL,5192,37.384437596302,1.1865826873980057,11282.715000000026,0.0,11282.715000000026,2.1730961093990806,0,-1357.5509999999958,2.3659524321435375
halt-25m,TUNED,4501,34.32570539880027,1.1971500684023928,12098.220999999972,0.0,12098.220999999972,2.6878962452788207,0,-2077.1079999999893,1.8627749447271411
halt-30m,ORIGINAL,5192,37.40369799691833,1.1861512976292736,11260.386000000035,0.0,11260.386000000035,2.168795454545461,0,-1352.7889999999898,2.361573681450745
halt-30m,TUNED,4501,34.3701399688958,1.198066116287475,12138.414000000004,0.0,12138.414000000004,2.696826038658077,0,-2092.2349999999824,1.8690811484721053
halt-40m,ORIGINAL,5192,37.422958397534664,1.18617859583555,11234.268000000042,0.0,11234.268000000042,2.163765023112489,0,-1347.8309999999947,2.3558553877409887
halt-40m,TUNED,4501,34.436791824039105,1.1983053011134361,12119.812000000005,0.0,12119.812000000005,2.6926931792934914,0,-2143.9529999999777,1.866296381353117
halt-50m,ORIGINAL,5192,37.442218798151,1.1888941642590505,11396.90900000004,0.0,11396.90900000004,2.195090331278898,0,-1332.4849999999897,2.380283241670226
halt-50m,TUNED,4501,34.592312819373475,1.205403337332528,12566.539000000002,0.0,12566.539000000002,2.7919437902688298,0,-2110.3489999999692,1.9217070599938426
halt-60m,ORIGINAL,5192,37.48073959938367,1.185280252822708,11165.064000000013,0.0,11165.064000000013,2.150436055469956,0,-1341.3809999999903,2.3390409173685747
halt-60m,TUNED,4501,34.48122639413464,1.2001941847491242,12227.649999999952,0.0,12227.649999999952,2.716651855143291,0,-2134.4629999999834,1.8827978524867939
halt-75m,ORIGINAL,5192,37.577041602465336,1.1809486515435392,10873.889000000037,0.0,10873.889000000037,2.094354583975354,0,-1337.1929999999993,2.294975069220795
