cfg,lots,worst,maxDD,pass_pct,d_pass,d_res,breach,Ecash,trades
"ORIGINAL (8h, mixed)",0.01,-220.48599999999692,-0.7097394999999979,0.0,,250.0,0.0,0.0,5192.0
"ORIGINAL (8h, mixed)",0.02,-440.97199999999384,-1.4194789999999957,0.0,,250.0,0.0,0.0,5192.0
"ORIGINAL (8h, mixed)",0.03,-661.4579999999908,-2.129218499999995,0.0,,250.0,0.0,0.0,5192.0
"ORIGINAL (8h, mixed)",0.04,-881.9439999999877,-2.8389579999999914,0.0,,250.0,0.0,0.0,5192.0
"ORIGINAL (8h, mixed)",0.05,-1102.4299999999846,-3.5486974999999923,0.0,,250.0,0.0,0.0,5192.0
"ORIGINAL (8h, mixed)",0.06,-1322.9159999999815,-4.25843699999999,25.150602409638555,224.0,242.0,0.0,1242.8786349397644,5192.0
"ORIGINAL (8h, mixed)",0.07,-1543.4019999999787,-4.9681764999999825,38.855421686746986,193.0,197.0,0.0,2838.8578686747232,5192.0
"ORIGINAL (8h, mixed)",0.08,-1763.8879999999754,-5.677915999999983,60.09036144578314,181.0,178.5,0.0,5955.651209638626,5192.0
"ORIGINAL (8h, mixed)",0.09,-1984.373999999972,-6.387655499999995,70.03012048192771,161.0,160.0,0.0,7865.076220482033,5192.0
"ORIGINAL (8h, mixed)",0.1,-2204.859999999969,-7.097394999999985,73.3433734939759,143.0,142.0,0.0,9965.510433735039,5192.0
"ORIGINAL (8h, mixed)",0.11,-2425.3459999999664,-7.807134499999979,74.09638554216868,132.0,130.0,0.0,11472.426005421807,5192.0
"ORIGINAL (8h, mixed)",0.12,-2645.831999999963,-8.51687399999998,74.84939759036145,124.0,122.0,0.0,13238.162812048327,5192.0
"ORIGINAL (8h, mixed)",0.13,-2866.31799999996,-9.226613499999981,76.20481927710844,109.5,107.5,0.0,15051.401863855586,5192.0
"ORIGINAL (8h, mixed)",0.14,-3086.8039999999573,-9.936352999999965,77.56024096385542,104.0,99.0,74.9514563106796,9991.525642168748,5192.0
"ORIGINAL (8h, mixed)",0.15,-3307.2899999999536,-10.646092499999998,68.67469879518072,106.0,82.0,90.13157894736842,10958.141629518106,5192.0
"ORIGINAL (8h, mixed)",0.16,-3527.7759999999507,-11.355831999999966,71.53614457831326,105.0,81.0,90.52631578947368,12727.180385542222,5192.0
"ORIGINAL (8h, mixed)",0.17,-3748.261999999948,-12.065571499999983,77.10843373493977,108.5,77.0,90.234375,15807.469027710875,5192.0
"ORIGINAL (8h, mixed)",0.18,-3968.747999999944,-12.77531099999999,76.95783132530121,109.0,76.5,90.99804305283757,17195.6954493976,5192.0
"ORIGINAL (8h, mixed)",0.19,-4189.233999999942,-13.48505049999995,77.10843373493977,107.5,75.5,88.671875,18660.822404216924,5192.0
"ORIGINAL (8h, mixed)",0.2,-4409.719999999938,-14.19478999999997,77.10843373493977,105.5,74.0,85.15625,19903.52356626511,5192.0
"ORIGINAL (8h, mixed)",0.21,-4630.205999999936,-14.904529499999974,77.40963855421687,103.5,72.0,80.35019455252919,21279.67959397594,5192.0
"ORIGINAL (8h, mixed)",0.22,-4850.691999999933,-15.614268999999958,78.6144578313253,100.0,70.0,83.71647509578544,22788.68250602413,5192.0
"ORIGINAL (8h, mixed)",0.23,-5071.17799999993,-16.324008499999977,78.91566265060241,97.0,68.0,82.06106870229007,24351.971382530148,5192.0
"ORIGINAL (8h, mixed)",0.24,-5291.663999999926,-17.03374799999996,78.6144578313253,97.0,67.0,81.80076628352491,25311.661995180788,5192.0
"ORIGINAL (8h, mixed)",0.25,-5512.149999999923,-17.743487499999944,78.91566265060241,94.0,66.0,80.72519083969466,26514.53367469887,5192.0
"ORIGINAL (8h, mixed)",0.26,-5732.63599999992,-18.453226999999963,78.76506024096386,90.0,64.5,94.07265774378585,17946.82056746977,5192.0
"ORIGINAL (8h, mixed)",0.27,-5953.121999999917,-19.162966499999968,79.06626506024097,83.0,62.0,92.19047619047619,18755.29650903602,5192.0
"ORIGINAL (8h, mixed)",0.28,-6173.607999999915,-19.87270599999993,80.12048192771084,81.0,61.5,93.60902255639097,19671.49096626492,5192.0
"ORIGINAL (8h, mixed)",0.29,-6394.09399999991,-20.582445499999935,77.86144578313254,77.0,60.0,89.94197292069632,20303.0011156625,5192.0
"ORIGINAL (8h, mixed)",0.3,-6614.579999999907,-21.292184999999996,77.71084337349397,74.5,57.5,88.17829457364341,20887.328078313112,5192.0
"ORIGINAL (8h, mixed)",0.31,-6835.065999999905,-22.00192449999998,77.56024096385542,68.0,50.0,85.63106796116506,21819.71367108418,5192.0
