label,rng,tgt,stop,net_o,maxDD_o,rdd_o,pf_o,sharpe_o,worst_o,net_i,maxDD_i,rdd_i,pf_i,sharpe_i,worst_i,y2020,y2021,y2022,y2023
r15 t1 s1,15,1.0,1.0,-1681.6629999999986,-1684.549999999995,-0.9982861891899936,0.898840888501763,-1.7346111114175848,-58.18499999999948,3020.490000000006,-1043.6969999999887,2.8940295890474332,1.1021013304214164,1.4177103341785724,-331.44999999999754,-1083.2810000000102,-42.06399999999593,-225.57599999998786,-330.7420000000046
r15 t1 s1.5,15,1.0,1.5,-2132.4945000000084,-2144.8409999999953,-0.9942436292480482,0.8916349237480118,-1.8043195376223644,-82.91500000000042,2084.2445000000016,-1282.407999999992,1.625258498075507,1.0587004498633539,0.8644332291901791,-251.43700000000462,-1691.986000000009,27.65099999999684,-73.96199999999322,-394.19750000000323
r15 t1 s2,15,1.0,2.0,-2615.9520000000202,-2625.357000000018,-0.9964176300594556,0.8796017395474572,-2.0195090942180727,-85.15299999999932,1237.5550000000012,-2268.9569999999776,0.5454290231150319,1.0314666029717698,0.4430462856593746,-401.62400000000264,-1803.5900000000115,-4.077000000000183,-234.3759999999981,-573.9090000000101
r15 t2 s1,15,2.0,1.0,-1598.8309999999778,-1669.1989999999723,-0.957843252961453,0.9245042298154735,-1.2663475093301615,-52.130000000000095,6623.470999999992,-599.5179999999987,11.047993554822385,1.1742752455841945,2.2479753126607163,-477.2079999999992,-1048.0769999999952,-63.04000000001342,-233.58099999996247,-254.13300000000663
r15 t2 s1.5,15,2.0,1.5,-2393.693500000016,-2526.160000000004,-0.9475621100801264,0.9095504594236613,-1.5316678033755338,-90.68599999999786,6558.165500000012,-917.274000000009,7.149625411818004,1.1378610593400689,1.9168798196554875,-737.0520000000001,-1769.9294999999993,-78.75050000001644,-185.4974999999834,-359.51600000001633
r15 t2 s2,15,2.0,2.0,-2908.8950000000077,-3060.853999999997,-0.9503540515163449,0.9034455931960574,-1.6961976099612828,-113.26200000000107,6481.734000000016,-1480.300000000027,4.37866243329048,1.1199628148132883,1.6524271682637932,-996.8959999999973,-1926.1869999999954,34.63999999999476,-491.95299999998355,-525.3950000000242
r15 t3 s1,15,3.0,1.0,-1736.190999999972,-1862.2399999999823,-0.9323132356731617,0.9251970363017291,-1.1413044493799247,-84.5030000000006,8775.57800000001,-1054.058000000004,8.325517191653567,1.2101991339743314,2.409544233455219,-455.4779999999996,-868.5079999999948,-283.67500000002383,-333.9939999999627,-250.0139999999906
r15 t3 s1.5,15,3.0,1.5,-2285.6884999999916,-2409.383999999972,-0.9486609440421362,0.9227982516858904,-1.2163378346881548,-103.36250000000064,8775.58450000003,-1638.3599999999792,5.356322481017689,1.1636639472068522,2.054282390761979,-715.3220000000006,-1240.886999999996,-425.0085000000182,-259.69649999998074,-360.0964999999961
r15 t3 s2,15,3.0,2.0,-2859.2079999999623,-2978.2769999999527,-0.9600208442666709,0.9166826086884317,-1.3814161688589648,-137.49000000000024,9223.899000000014,-2061.1359999999854,4.47515302241098,1.149251053765401,1.8938616783415296,-975.1659999999978,-1255.5099999999893,-354.6550000000036,-643.6959999999713,-605.3469999999986
r15 t4 s1,15,4.0,1.0,-1363.7269999999648,-1466.3819999999942,-0.929994367088501,0.9436909211800417,-0.7663678475538872,-77.19700000000101,10935.731000000054,-800.5129999999945,13.66090369550542,1.2511911487396676,2.4959011644904803,-542.3979999999979,-699.8790000000023,-73.58000000001442,-184.80799999996708,-405.45999999998105
