set,rng,tgt,stop,net_tr,pf_tr,dd_tr,net_ho,pf_ho,dd_ho,sh_ho,net_all,rdd_all,dd_all,sh_all,both
7h,15,1.0,1.0,1016.9739999999852,1.062264161571119,-611.6669999999958,2003.516000000021,1.15120827541528,-856.3820000000035,2.371315603801334,3020.490000000006,2.8940295890474332,-1043.6969999999887,1.4177103341785724,True
7h,15,1.0,1.5,1236.7119999999495,1.0647704562436504,-715.4624999999901,847.5325000000524,1.0516388805814612,-1089.3845000000022,0.8924890700621388,2084.244500000002,1.625258498075507,-1282.407999999992,0.8644332291901791,True
7h,15,1.0,2.0,804.3449999999519,1.03824358100788,-840.8240000000096,433.21000000005006,1.0236765577047329,-2032.6490000000051,0.3876656357714943,1237.555000000002,0.5454290231150319,-2268.9569999999776,0.4430462856593746,True
7h,15,2.0,1.0,1890.4099999999903,1.0890704149168593,-599.5179999999987,4733.061000000003,1.282031410374249,-586.6200000000038,4.177025005124168,6623.470999999994,11.047993554822385,-599.5179999999987,2.2479753126607163,True
7h,15,2.0,1.5,2835.006999999971,1.1091104037148087,-835.6149999999957,3723.158500000043,1.1724649615844074,-917.2740000000093,2.8536347767539487,6558.165500000014,7.149625411818004,-917.274000000009,1.9168798196554875,True
7h,15,2.0,2.0,2410.2359999999735,1.0814548094270817,-1130.0750000000091,4071.4980000000432,1.1665824514189875,-1480.3000000000266,2.6621821824653695,6481.734000000017,4.37866243329048,-1480.300000000027,1.6524271682637932,True
7h,15,3.0,1.0,3525.5419999999967,1.1526314508910966,-971.9850000000038,5250.0360000000155,1.2814960258395502,-797.2699999999984,3.695208675210078,8775.578000000012,8.325517191653567,-1054.058000000004,2.409544233455219,True
7h,15,3.0,1.5,4763.5479999999825,1.1641615468434996,-1257.7674999999927,4012.036500000048,1.1630770431417592,-1076.8074999999887,2.4723319266938524,8775.58450000003,5.356322481017689,-1638.3599999999792,2.054282390761979,True
7h,15,3.0,2.0,4260.09199999995,1.1267030711030965,-1580.0200000000027,4963.807000000068,1.1761552653983067,-1689.3479999999945,2.614275620193562,9223.899000000018,4.47515302241098,-2061.1359999999854,1.8938616783415296,True
7h,15,4.0,1.0,4253.208000000042,1.175957430726823,-800.5129999999945,6682.523000000014,1.3451057943799365,-550.6299999999972,3.862911927789409,10935.731000000056,13.66090369550542,-800.5129999999945,2.4959011644904803,True
7h,15,4.0,1.5,5515.284000000045,1.1787598587548973,-1483.9975000000068,5474.467500000021,1.2125066608879942,-971.9590000000052,2.7231061668446355,10989.751500000066,6.767407146949817,-1623.9235000000444,2.121330722679633,True
7h,15,4.0,2.0,4669.397000000029,1.128999536591508,-1959.6800000000003,6515.209000000044,1.2187391788012392,-1554.4639999999986,2.818763402884529,11184.606000000073,5.352761567110226,-2089.5020000000222,1.9042545206410075,True
7h,15,5.0,1.0,4926.464000000077,1.199718223560618,-874.8649999999861,7037.138999999992,1.357181417675141,-542.3979999999979,4.1077346729790785,11963.603000000068,13.674798968984076,-874.8649999999861,2.6505110726796923,True
7h,15,5.0,1.5,6650.515000000067,1.2099658956547803,-1360.1494999999932,5684.899500000024,1.2151674093543015,-827.9380000000043,2.8507256518497255,12335.41450000009,8.028937374765583,-1536.3695000000216,2.3098476479740246,True
