tape,config,windows,trades,days,win_rate,pf,net,per_trade,rr,maxDD,sharpe
REAL 2026,ORIGINAL,8,1167,150,36.67523564695801,1.1710662286012534,4597.584000000023,3.939660668380483,2.0220045395708555,-940.5019999999968,2.5562672669864304
REAL 2026,TUNED_2026,7,1002,150,35.82834331337325,1.3439027994918513,9219.348999999957,9.200947105788385,2.4070459612068533,-1615.5859999999993,3.5091532988914027
rep2026_1,ORIGINAL,8,1172,151,38.13993174061434,1.22446088053758,5640.775999999966,4.812948805460724,1.9859824125050236,-1293.5070000000233,3.2543699325064517
rep2026_1,TUNED_2026,7,1004,151,37.05179282868526,1.443955631391594,10980.827000000085,10.937078685259053,2.453171932901848,-1347.9970000000048,4.400300515011744
rep2026_2,ORIGINAL,8,1175,152,35.57446808510638,1.2986161226299453,8654.031999999985,7.365133617021265,2.351800011557102,-763.2609999999986,4.208807911202832
rep2026_2,TUNED_2026,7,997,152,37.21163490471414,1.5275250580902588,14454.203999999998,14.497697091273823,2.57744120313882,-772.7200000000084,5.491137860476104
rep2026_3,ORIGINAL,8,1191,152,35.936188077246015,1.1079839999392747,2901.9510000000714,2.436566750629785,1.9752144671814642,-1401.9159999999974,1.7756023248915946
rep2026_3,TUNED_2026,7,1025,152,33.07317073170732,1.1119053407280985,3137.9700000000753,3.061434146341542,2.2500503355146773,-2507.5969999999743,1.4785148586476142
rep2026_4,ORIGINAL,8,1184,152,36.317567567567565,1.1079306717611246,2902.522999999921,2.4514552364864226,1.942743550018344,-2027.5090000000146,1.791909549764759
rep2026_4,TUNED_2026,7,1017,152,36.47984267453294,1.3421961439704984,8892.913999999906,8.744261553588903,2.337085469016016,-1118.0019999999986,4.1037048798226605
rep2026_5,ORIGINAL,8,1175,152,38.12765957446808,1.2418860148728141,6209.064999999973,5.284310638297852,2.015292707170839,-1250.017000000007,3.3873567782671548
rep2026_5,TUNED_2026,7,1001,152,37.26273726273726,1.4190263630889381,10561.104000000014,10.550553446553465,2.3891382198923683,-1089.6179999999895,4.545622207244437
regime_2026,ORIGINAL,8,1168,151,36.3013698630137,1.154919747808189,4009.81200000001,3.4330582191780916,2.0265572933238034,-1942.8139999999967,2.19149632364429
regime_2026,TUNED_2026,7,1003,151,33.99800598205383,1.2256725315658887,5917.954999999964,5.900254237288106,2.379458111133778,-1873.773000000001,2.4270300034622796
NULL30 (2026 part),ORIGINAL,8,993,129,31.319234642497484,0.8902495070859907,-1790.324999999984,-1.802945619335329,1.9522513306515938,-2336.601999999986,-1.6719706607938507
NULL30 (2026 part),TUNED_2026,7,863,129,28.27346465816918,0.9310293040308097,-1174.2870000000112,-1.3607033603708085,2.361914504897833,-1950.2150000000038,-0.9346284947936625
