lots,per10k,worst,maxdd,pas,dpass,dres,breach,cash,ecash,prefund
0.01,0.001,-342.07499999999925,-0.6316259999999976,0.0,,250.0,0.0,1063.6379114458027,0.0,0.0
0.02,0.002,-684.1499999999985,-1.2632519999999952,0.0,,250.0,0.0,2605.4597602409785,0.0,0.0
0.03,0.003,-1026.2249999999979,-1.894877999999993,0.0,,250.0,0.0,4014.080951204849,0.0,0.0
0.04,0.004,-1368.299999999997,-2.5265039999999903,15.060240963855422,335.5,250.0,0.0,5623.896783132524,846.9724070982718,14.357127304398318
0.05,0.005,-1710.3749999999964,-3.1581299999999897,34.33734939759036,305.0,250.0,0.0,7164.858274096421,2460.2224194186506,33.35480476121353
0.06,0.006,-2052.4499999999957,-3.789755999999986,56.174698795180724,254.0,242.0,0.0,8587.063330120514,4823.756961046614,55.24409384526056
0.07,0.007,-2394.524999999995,-4.421381999999982,58.28313253012048,229.0,197.5,0.0,10151.637932530117,5916.6925901945115,57.580926114094936
0.08,0.008,-2736.599999999994,-5.053007999999981,65.8132530120482,188.0,178.5,0.0,11598.420992771102,7633.298153374956,65.41678763245754
0.09,0.009,-3078.6749999999934,-5.684633999999994,73.79518072289156,164.0,160.0,0.0,13114.25496867478,9677.688154594342,73.46176876179416
0.1,0.01,-3420.7499999999927,-6.316259999999979,79.96987951807229,147.0,142.0,0.0,14563.947771084382,11646.771485611154,79.6085698214545
0.11,0.011,-3762.824999999991,-6.947885999999976,84.1867469879518,140.0,130.0,0.0,16240.046310240958,13671.966697928758,83.80638517927132
0.12,0.012,-4104.899999999991,-7.579511999999972,86.29518072289156,134.0,122.0,0.0,17740.653137349447,15309.328686297038,86.16521810132095
0.13,0.013,-4446.97499999999,-8.211137999999973,87.19879518072288,120.0,107.5,29.066265060240966,16176.532935542149,14105.741821805577,86.93614820728696
0.14,0.014,-4500.0,-8.842763999999963,86.14457831325302,113.0,97.5,34.93975903614458,16359.56025421683,14092.874194897633,84.32827696327479
0.15,0.015,-4500.0,-9.474389999999982,85.54216867469879,110.0,91.5,35.8433734939759,17367.78961445783,14856.783887066336,83.22325446363769
0.16,0.016,-4500.0,-13.339639999999875,83.43373493975903,108.0,89.0,43.373493975903614,18283.642631325278,15254.725930352717,80.54371098853245
0.17,0.017,-4500.0,-13.610867499999868,84.03614457831326,104.5,83.5,43.52409638554217,19431.840436746934,16329.76952365179,81.50493540426767
0.18,0.018,-4500.0,-13.882094999999916,84.03614457831326,99.5,82.0,43.52409638554217,20577.705918072228,17292.7106962113,81.63149586296996
0.19,0.019,-4500.0,-14.153322499999854,83.73493975903614,98.5,81.0,43.52409638554217,21745.511502409656,18208.590956837,81.71723036725214
0.2,0.02,-4500.0,-14.424549999999837,83.58433734939759,97.0,80.0,44.42771084337349,22432.115096385518,18749.734756768015,81.19261685295398
0.21,0.021,-4500.0,-14.69577749999983,83.73493975903614,96.0,79.5,44.57831325301205,23503.034792168623,19680.252024767702,81.33890985629264
0.22,0.022,-4500.0,-17.68565399999982,81.47590361445783,96.0,74.5,44.87951807228915,24581.0688144578,20027.647934671193,78.89910545797649
0.23,0.023,-4500.0,-17.87591099999983,81.47590361445783,95.0,74.0,44.87951807228915,25697.406945180646,20937.194514070376,78.89910545797649
0.24,0.024,-4500.0,-18.066167999999784,80.72289156626506,94.5,71.5,45.331325301204814,27073.693098795164,21854.66792312381,77.80519669037596
0.25,0.025,-4500.0,-18.256424999999776,80.72289156626506,92.0,69.0,57.37951807228916,27680.966777108442,22344.876795979104,77.56205545071853
0.26,0.026,-4500.0,-18.446681999999825,81.02409638554217,88.0,67.0,71.08433734939759,23981.70699518065,19430.961390673478,77.8514661053854
0.27,0.027,-4500.0,-18.636938999999764,81.32530120481928,83.0,63.5,71.6867469879518,24826.17774578303,20189.963829401862,77.77344317027145
0.28,0.028,-4500.0,-18.827195999999724,81.77710843373494,80.0,62.0,71.98795180722891,25613.587238554115,20946.051009841693,77.83604296704891
0.29,0.029,-4500.0,-19.017452999999772,79.51807228915662,76.0,60.0,72.28915662650603,26533.569767469755,21098.983188590406,75.6858760342575
0.3,0.03,-4500.0,-19.20770999999982,79.06626506024097,74.0,58.0,72.28915662650603,27362.654909638426,21634.629258373756,75.1367669473073
0.31,0.031,-4500.0,-22.3268094999998,78.16265060240963,73.0,53.0,72.28915662650603,27568.040177108298,21547.910921565068,74.16034620409347
0.32,0.032,-4500.0,-22.466383999999827,78.16265060240963,66.0,47.5,72.59036144578313,27855.578506023994,21772.658500943453,74.04263136884889
0.33,0.033,-4500.0,-24.21868949999989,76.6566265060241,65.0,46.0,73.94578313253012,27800.369349397442,21310.8252994628,72.26965089272753
0.34,0.034,-4500.0,-24.270770999999947,76.6566265060241,64.0,45.0,74.24698795180723,28199.0173879516,21616.41543745085,72.03875743939614
0.35,0.035,-4500.0,-24.322852499999883,76.35542168674698,63.0,43.5,74.24698795180723,29025.41875301191,22162.48088520638,71.75569748875019
