hour,net,trades,per_trade,selected_2024_25
14,2611.558999999961,8673,0.30111368615242257,True
8,772.4150000000408,8943,0.08637090461814165,False
13,410.67199999998644,8874,0.04627811584403724,True
7,145.79100000001108,8964,0.016264056224900833,False
12,-288.540999999974,8913,-0.03237305060024392,False
2,-337.21099999995135,8784,-0.038389230418938,True
21,-622.7960000000489,2139,-0.2911622253389663,False
0,-676.5870000000917,8634,-0.07836309937457629,True
23,-1292.1890000000121,3042,-0.42478270874425117,False
4,-2037.7270000000165,7659,-0.2660565347956674,True
3,-2081.6639999999543,8526,-0.24415482054890386,False
22,-2369.8249999999834,3291,-0.7200926769978679,False
9,-3440.898999999945,8871,-0.3878817495209046,False
1,-4513.920999999982,8811,-0.512305186698443,True
15,-4645.345000000005,8721,-0.5326619653709442,False
16,-5111.463000000032,8862,-0.576784360189577,False
17,-5173.1649999999945,8553,-0.6048363147433643,False
10,-5200.019999999918,8784,-0.5919877049180234,False
11,-5267.827999999932,8877,-0.5934243550749051,False
5,-5345.198999999925,8238,-0.6488466860888474,True
18,-5883.580999999978,8214,-0.7162869491112708,False
20,-6320.081000000031,6798,-0.9296971167990631,False
19,-6935.150999999974,7824,-0.8863945552147207,False
6,-7108.5520000000315,8931,-0.7959413279587987,True
