portfolio,lots_per_10k,account,intraday,pass_rate,breach_rate,median_days_to_pass,exp_days_per_funded,exp_attempts
ORIGINAL,0.01,One 4%DD,False,82.37951807228916,11.74698795180723,87.0,100.53016453382084,1.2138939670932358
ORIGINAL,0.01,One 4%DD,True,78.16265060240963,16.566265060240966,92.0,103.14065510597302,1.2793834296724471
ORIGINAL,0.01,One 6%DD,False,83.8855421686747,3.0120481927710845,97.0,121.8491921005386,1.192100538599641
ORIGINAL,0.01,One 6%DD,True,78.6144578313253,8.283132530120483,105.0,127.3831417624521,1.2720306513409962
ORIGINAL,0.01,One 8%DD,False,75.90361445783132,0.0,106.5,160.2123015873016,1.3174603174603174
ORIGINAL,0.01,One 8%DD,True,75.90361445783132,0.0,106.5,160.2123015873016,1.3174603174603174
ORIGINAL,0.01,One 10%DD,False,73.94578313253012,0.0,137.0,191.85539714867616,1.3523421588594704
ORIGINAL,0.01,One 10%DD,True,73.94578313253012,0.0,137.0,191.85539714867616,1.3523421588594704
ORIGINAL,0.01,One 14%DD,False,48.493975903614455,0.0,188.5,369.1055900621118,2.062111801242236
ORIGINAL,0.01,One 14%DD,True,48.493975903614455,0.0,188.5,369.1055900621118,2.062111801242236
ORIGINAL,0.01,Pro,False,88.1024096385542,0.0,98.0,115.72478632478632,1.135042735042735
ORIGINAL,0.01,Pro,True,77.2590361445783,10.843373493975903,106.0,123.97465886939572,1.294346978557505
ORIGINAL,0.01,Sig 25-50k,False,82.37951807228916,11.74698795180723,87.0,100.53016453382084,1.2138939670932358
ORIGINAL,0.01,Sig 25-50k,True,78.16265060240963,16.566265060240966,92.0,103.5549132947977,1.2793834296724471
ORIGINAL,0.01,Sig 100k+,False,79.06626506024097,15.813253012048193,83.0,100.24380952380953,1.2647619047619048
ORIGINAL,0.01,Sig 100k+,True,74.69879518072288,20.180722891566266,89.0,103.73588709677419,1.338709677419355
TUNED,0.01,One 4%DD,False,73.04216867469879,21.987951807228914,97.0,116.99587628865979,1.3690721649484536
TUNED,0.01,One 4%DD,True,70.03012048192771,25.0,101.0,121.19784946236558,1.4279569892473116
TUNED,0.01,One 6%DD,False,66.1144578313253,16.716867469879517,105.0,164.41457858769934,1.5125284738041003
TUNED,0.01,One 6%DD,True,66.1144578313253,16.716867469879517,105.0,164.02050113895217,1.5125284738041003
TUNED,0.01,One 8%DD,False,54.668674698795186,19.879518072289155,140.0,241.29476584022035,1.8292011019283745
TUNED,0.01,One 8%DD,True,54.668674698795186,19.879518072289155,140.0,240.01928374655648,1.8292011019283745
TUNED,0.01,One 10%DD,False,47.59036144578313,19.57831325301205,160.0,309.11075949367086,2.1012658227848102
TUNED,0.01,One 10%DD,True,47.59036144578313,19.57831325301205,160.0,309.11075949367086,2.1012658227848102
TUNED,0.01,One 14%DD,False,45.63253012048193,0.0,145.0,391.0957095709571,2.1914191419141913
TUNED,0.01,One 14%DD,True,45.63253012048193,0.0,145.0,391.0957095709571,2.1914191419141913
TUNED,0.01,Pro,False,83.28313253012048,3.1626506024096384,114.0,143.42857142857144,1.2007233273056057
TUNED,0.01,Pro,True,66.1144578313253,20.33132530120482,112.0,167.69931662870158,1.5125284738041003
TUNED,0.01,Sig 25-50k,False,73.04216867469879,21.987951807228914,97.0,116.99587628865979,1.3690721649484536
TUNED,0.01,Sig 25-50k,True,71.83734939759037,23.19277108433735,99.0,118.1740041928721,1.392033542976939
TUNED,0.01,Sig 100k+,False,70.33132530120481,24.69879518072289,101.0,118.05567451820129,1.4218415417558887
TUNED,0.01,Sig 100k+,True,68.22289156626506,27.40963855421687,104.0,119.98896247240616,1.465783664459161
