dimension,bucket,trades,win_rate,exp_usd,exp_R,total_usd,pf,tp_rate,sl_rate,t_stat,consistent,thin
b_trendiness,-0.00 - 0.20,6642,59.37970490816019,46.99052731946604,0.2729074294682601,312111.08245589345,1.7562927575744485,52.87563986750978,38.2716049382716,13.820176007208788,100.0,False
b_ret_pct,-0.27 - +0.46,6602,67.72190245380187,43.24234593446172,0.3002904944593701,285485.96785931627,2.2297355854544785,60.31505604362315,28.90033323235383,26.68198832704378,100.0,False
b_vwap_crosses,20 - 53,5971,63.4232121922626,33.18492674269301,0.237563745141558,198147.19758061995,1.7508653545559583,57.0088762351365,30.19594707754145,17.673330684815557,93.33333333333333,False
b_range_pct,0.44 - 1.36,6614,68.8388267311763,31.462200070098383,0.25805435966180795,208090.9912636307,2.4075860635613315,58.17961899002116,23.05715149682492,30.583790057962865,100.0,False
b_max_dev_pct,0.22 - 0.74,6633,67.60138700437209,30.594714544398826,0.24165409082589948,202934.74157299742,2.2016942152126124,58.99291421679481,24.483642394090154,27.399533931120803,100.0,False
b_trendiness,0.20 - 0.42,6592,57.52427184466019,28.02648889849695,0.15766030586912436,184750.6148188919,1.5179419669203749,48.28580097087379,38.69842233009709,13.230245193041748,100.0,False
hour,15,2524,47.46434231378764,26.333929656752094,0.12696185659775835,66466.83845364228,1.366813407154165,26.62440570522979,40.9270998415214,4.382946529494051,100.0,False
b_ret_pct,-1.23 - -0.27,6625,53.992452830188675,19.674299217336458,0.08468939430133311,130342.23231485403,1.356512554415323,40.42264150943396,41.177358490566036,8.560028784000167,100.0,False
b_max_dev_pct,0.74 - 0.98,6632,53.6037394451146,18.735194374187902,0.06279449520505863,124251.80908961417,1.4001352698627694,43.983715319662245,38.480096501809406,11.57161175399399,100.0,False
b_ret_pct,+0.46 - +1.27,6601,50.46205120436298,14.427706302307616,0.044305418277986855,95237.28930153257,1.246541241686705,41.53916073322224,39.478866838357824,5.9480345637441125,100.0,False
b_vwap_crosses,15 - 20,6416,50.10910224438903,14.271412913513926,0.08070601488801069,91565.38525310534,1.1859185771761969,43.90586034912718,43.29800498753117,4.184249281923651,100.0,False
hour,4,675,56.888888888888886,13.543486418970279,0.04624080514232605,9141.853332804938,1.2377666558957474,57.925925925925924,41.77777777777778,2.3105197296604976,91.66666666666666,False
b_range_pct,1.36 - 1.81,6617,51.94196765906,13.074532191913624,0.01761822345496639,86514.17951389245,1.2852201841922746,40.35061205984585,39.09626719056975,8.604309848512758,80.0,False
b_range_pct,1.81 - 2.34,6660,46.966966966966964,5.907985728988116,-0.032486796987817035,39347.18495506085,1.0925143189080808,38.213213213213216,45.1051051051051,3.025635417237765,60.0,False
b_realized_vol_pct,1.08 - 1.39,6612,50.892316999395035,5.007901643767082,0.022283251517810333,33112.245668587944,1.0753832042003608,43.22444041137326,43.40592861464005,2.4816662014666733,86.66666666666667,False
hour,9,1104,52.44565217391305,2.879913474829155,0.08334967939288264,3179.424476211387,1.0393767555404168,52.35507246376812,45.471014492753625,0.5074002829073495,46.666666666666664,False
hour,16,1631,46.65849172286941,2.5728609839583165,-0.0021637931524401853,4196.336264836014,1.0372298279955139,24.27958307786634,40.220723482526054,0.49885238878746946,66.66666666666666,False
hour,7,1277,47.68989819890368,0.0025432144738743888,-0.04304919565006668,3.2476848831375946,1.000034061301349,46.90681284259984,51.448707909162096,0.0003578162606688107,60.0,False
b_realized_vol_pct,0.38 - 0.85,6621,54.44796858480592,-0.24591288028619343,0.0038497026380836454,-1628.1891803748867,0.9929288735765676,40.386648542516234,32.653677692191515,-0.24704005446168034,53.333333333333336,False
b_vwap_crosses,12 - 15,5879,49.668310937234224,-0.8654019416193331,-0.006667314800368533,-5087.69801478006,0.9870553718368761,39.53053240346998,43.527810852185745,-0.38533283617619907,53.333333333333336,False
dev_bucket,0.41 - 0.62,6610,48.29046898638427,-0.870497713972348,-0.00966316406914829,-5753.98988935722,0.9872055284759521,42.239031770045386,43.872919818456886,-0.4496344690791352,44.44444444444444,False
weekday,Monday,6675,46.38202247191011,-2.0747904599836913,-0.025234860261703313,-13849.226320391139,0.9733147641280344,37.752808988764045,46.92134831460674,-0.7222852756145063,40.0,False
hour,6,1764,47.44897959183674,-2.4296691562940587,-0.010782551916329784,-4285.936391702719,0.9722033468432016,47.10884353741497,52.09750566893424,-0.3809841292090954,33.33333333333333,False
b_avg_spread,0.10 - 0.16,6395,45.4573885848319,-2.7600885828946664,-0.008996011406968884,-17650.766487611392,0.9731858363805885,39.311962470680214,50.351837372947614,-0.8430978433667581,13.333333333333334,False
hour,10,1072,48.0410447761194,-2.8449174313954173,-0.03596144857810235,-3049.7514864558875,0.9594151633882465,46.082089552238806,48.22761194029851,-0.5645805241729366,40.0,False
weekday,Wednesday,6618,48.73073436083409,-2.9410599802786175,-0.01256599145382179,-19463.93494948389,0.9593117637524372,39.87609549712904,45.04381988516168,-1.2840815289413328,40.0,False
hour,18,948,41.77215189873418,-2.9989714228751456,-0.029888950050800795,-2843.024908885638,0.9637864325115968,20.042194092827003,42.29957805907173,-0.3540511987928479,40.0,False
b_avg_spread,0.04 - 0.06,6548,46.02932193036042,-3.7447804846842105,-0.014410655711438847,-24520.82261371221,0.9480497780919593,36.83567501527184,45.8613317043372,-1.1755927702220792,6.666666666666667,False
b_max_dev_pct,0.98 - 1.36,6603,44.46463728608208,-4.702502388167233,-0.09455328787252172,-31050.62326906824,0.9278210393237998,33.57564743298501,46.297137664697864,-2.5180605196676127,40.0,False
hour,13,3257,44.212465459011355,-4.913376458968091,-0.052189113442075594,-16002.86712685907,0.9329018265928768,33.43567700337734,48.480196499846485,-1.5316096011389995,33.33333333333333,False
hour,0,576,54.513888888888886,-5.024509026665828,-0.00996676767195747,-2894.1171993595167,0.9304858552209939,56.076388888888886,43.92361111111111,-0.6999034248133924,33.33333333333333,False
b_avg_spread,0.04 - 0.04,13287,49.13825543764582,-5.392368955612367,-0.033111118247863155,-71648.40631322152,0.9159403721317637,39.56498833446226,43.32053887258222,-4.094795765096693,0.0,False
b_realized_vol_pct,1.39 - 1.91,6707,45.92217086625913,-5.523299926269092,-0.030291663233524963,-37044.7726054868,0.9356718641946934,38.720739525868495,49.84344714477412,-2.2581622041629568,6.666666666666667,False
dev_bucket,0.29 - 0.41,6608,53.93462469733657,-5.683725306839131,-0.03457536184631599,-37558.056827592976,0.8985747504346415,51.67978208232446,41.828087167070215,-3.869414669825677,0.0,False
b_realized_vol_pct,0.85 - 1.08,6596,48.48392965433596,-5.854516948036559,-0.06477397315511667,-38616.393789249145,0.8926877148058467,38.18981200727713,42.419648271679804,-3.8793160314799433,40.0,False
dev_bucket,0.20 - 0.29,6609,55.28824330458466,-6.138654961627102,-0.057176931731040735,-40570.37064139352,0.8560074503834553,54.1836889090634,41.97306702980784,-5.679602236992839,0.0,False
b_trendiness,0.42 - 0.58,6606,48.13805631244323,-6.861284250100566,-0.0239726547623536,-45325.64375616434,0.9085236874715065,36.421435059037236,45.67060248259158,-2.8880450150382795,0.0,False
weekday,Thursday,6855,46.57913931436907,-6.870583602395869,-0.03555589516760052,-47097.85059442368,0.9119114002528166,37.097009482129835,46.76878191101386,-2.443948922529604,0.0,False
dir,short,16516,47.06345362073141,-6.975676217164003,-0.05155452292719244,-115210.26840268068,0.8998140171855692,39.80988132719787,43.763623153305886,-5.146557862684277,0.0,False
dev_bucket,0.62 - 1.03,6602,43.59285065131778,-7.330538425189297,-0.01651771004024198,-48396.21468309974,0.9172150407581592,28.794304756134505,46.379884883368675,-2.843886114693594,6.666666666666667,False
hour,1,2593,52.4103355187042,-7.973431326560821,-0.045779602198882975,-20675.107429772208,0.8923965613661502,54.647126880061705,45.352873119938295,-2.112236612573731,20.0,False
dir,long,16520,46.45278450363196,-8.554668295857104,-0.025048394623804753,-141323.12024755936,0.8982849332954445,36.295399515738495,48.95278450363196,-4.62555534586593,0.0,False
hour,3,1186,53.87858347386172,-8.850344995377409,-0.06250978612115862,-10496.509164517607,0.8655193325390115,55.22765598650927,44.772344013490724,-1.8768020009002426,26.666666666666668,False
weekday,Tuesday,6496,47.10591133004926,-8.88229147251095,-0.04163341999226479,-57699.36540543113,0.8826641594868795,39.716748768472904,45.489532019704434,-3.8042796258881695,0.0,False
hour,17,950,44.42105263157895,-8.955771110345736,-0.02935308698944774,-8507.98255482845,0.8747188439872831,19.789473684210527,40.10526315789474,-1.5053516407836864,33.33333333333333,False
hour,8,1585,49.52681388012618,-11.346568459008592,-0.07443466280668608,-17984.31100752862,0.8499655762241424,48.89589905362776,49.08517350157729,-2.6063303379911256,13.333333333333334,False
hour,12,2028,41.913214990138066,-14.361010803410739,-0.10084922263448852,-29124.12990931698,0.8209509071970494,37.77120315581854,52.909270216962526,-3.3837939069595,26.666666666666668,False
hour,2,1491,52.112676056338024,-17.30832100452985,-0.061966899137321174,-25806.706617754007,0.7647108950076409,53.65526492287056,46.27766599597585,-3.9540685484349987,0.0,False
b_vwap_crosses,8 - 12,6636,43.42977697408077,-18.05680624335666,-0.12146761564140132,-119824.9662309148,0.77402718385026,34.20735382760699,48.88487040385775,-8.056630032664154,0.0,False
hour,21,130,49.23076923076923,-18.15963755457513,0.008555228588538445,-2360.752882094767,0.7923036736606096,16.153846153846153,33.07692307692307,-0.9798455463297273,50.0,False
weekday,Friday,6392,44.9468085106383,-18.526753970668054,-0.07814192717754206,-118423.0113805102,0.77032167414265,35.810387984981226,47.57509386733417,-7.7284540378689135,0.0,False
dev_bucket,1.03 - 8.02,6607,32.6774632965037,-18.806531952292506,-0.0735574709818545,-124254.75660879658,0.8543292627484456,13.3494778265476,57.74178901165431,-4.300077545152963,0.0,False
hour,5,1456,47.25274725274725,-19.983793471185773,-0.08699838880182129,-29096.403294046486,0.7731167957816677,47.39010989010989,52.06043956043956,-3.949431151066532,20.0,False
hour,11,1233,44.68775344687753,-20.148652291176102,-0.019567711594479988,-24843.288275020135,0.7914759830434897,41.281427412814274,51.662611516626114,-3.0980403602166438,20.0,False
b_avg_spread,0.06 - 0.10,6806,44.034675286511906,-20.96876186242946,-0.09894741186384652,-142713.3932356949,0.7436646541531778,35.086688216279754,49.01557449309433,-8.960473278881171,0.0,False
hour,20,552,47.28260869565217,-21.49131936632566,-0.02919285156974024,-11863.208290211764,0.7192227955347946,11.956521739130435,34.60144927536232,-2.6517744708215005,7.6923076923076925,False
hour,14,3551,40.27034638130104,-21.536944951373965,-0.09627340754171422,-76477.69152232895,0.7456253477240455,28.048437059983105,48.29625457617573,-6.443241183190347,0.0,False
hour,22,433,47.80600461893764,-29.9743093533663,-0.13018153775047156,-12978.875950007608,0.541439338488147,3.4642032332563506,31.40877598152425,-4.694266026519342,6.666666666666667,False
b_max_dev_pct,1.36 - 2.07,6610,37.88199697428139,-30.8559376767565,-0.19070656344761638,-203957.74804336048,0.674695942693156,28.456883509833585,55.3857791225416,-13.006943642912676,0.0,False
b_realized_vol_pct,1.91 - 6.87,6500,33.83076923076923,-32.67019672980264,-0.12425913966382723,-212356.27874371715,0.7726700009093969,29.584615384615386,63.723076923076924,-7.329053254558254,0.0,False
b_trendiness,0.58 - 0.77,6626,41.110775731964985,-33.07498966483991,-0.17638135569500782,-219154.88151922927,0.6152238307180524,31.104738907334745,49.683066706912165,-14.335681405936814,0.0,False
hour,19,963,38.006230529595015,-36.889790684789915,-0.17173133957755746,-35524.86842945269,0.5394999630824038,11.007268951194185,40.18691588785047,-6.766907264086396,0.0,False
b_range_pct,2.34 - 3.73,6580,36.747720364741646,-37.63249412149909,-0.21716893872001536,-247621.81131946403,0.627677268325515,28.465045592705167,56.48936170212766,-15.54939946592353,0.0,False
