month,trades,net_pnl,win_rate
2024-01,2,247.7669796557085,100.0
2024-02,3,50.000000000000355,66.66666666666666
2024-03,9,-60.650640243906096,55.55555555555556
2024-04,13,693.2962835248903,53.84615384615385
2024-05,8,59.65841361060885,25.0
2024-06,7,-588.917978023594,57.14285714285714
2024-07,5,-37.509999999993866,40.0
2024-08,8,-155.3411499999998,50.0
2024-09,4,260.2840191740436,75.0
2024-10,3,76.96000000000403,66.66666666666666
2024-11,7,-1124.3822328320834,28.57142857142857
2024-12,4,-82.64000000000375,50.0
2025-02,5,429.6001149425311,80.0
2025-03,2,111.70999999999695,50.0
2025-04,21,-1442.8580751354068,47.61904761904761
2025-05,16,2.2718328620193375,56.25
2025-06,6,218.91000000000156,66.66666666666666
2025-07,8,755.4708115183115,87.5
2025-08,2,-418.75999999999874,0.0
2025-09,7,851.9771216189498,85.71428571428571
2025-10,25,-1473.461725258444,56.00000000000001
2025-11,11,-275.53220937746136,45.45454545454545
2025-12,7,-103.55787092780008,57.14285714285714
2026-01,25,-4089.386031118156,36.0
2026-02,42,-282.7553866920748,42.857142857142854
2026-03,46,-3158.158970649645,41.30434782608695
2026-04,16,-2476.220954040538,50.0
2026-05,13,393.2891941805688,46.15384615384615
2026-06,19,-2140.090362294978,42.10526315789473
2026-07,14,735.6833861471662,57.14285714285714
