param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe
B_t0.35_s0.6_fixed_r1.0_e0.3_h24,1930,335,49.326424870466326,0.9558965680713556,-2145.1304119999922,-1.1114665347150219,-0.007609206636084151,-6.403374364179098,-21.0764652712687,7.964630315223818,-35.51510866633957,-0.7505838103973324
B_t0.35_s0.6_fixed_r1.0_e0.3_h0,1732,335,49.65357967667436,0.9543218649723834,-2225.9240309999877,-1.2851755375288614,-0.011543209133858562,-6.644549346268635,-21.34756439470125,7.682797286417781,-40.02696648210575,-0.7701616200470217
B_t0.35_s1_fixed_r1.5_e0.45_h24,1630,353,48.40490797546012,0.9797921572197018,-1043.29667500002,-0.6400593098159633,0.0025864153011271604,-2.9555146600567244,-22.006455995042536,15.417714593130025,-35.6567961854123,-0.26220506499079216
B_t0.35_s1_fixed_r1.5_e0.45_h12,2403,353,49.47981689554724,0.9701565102210746,-1651.5889050000608,-0.6873029151061426,0.0009714734661466625,-4.678722110481769,-22.58604615881815,12.822457850566305,-39.93187702926094,-0.43218758406070484
B_t0.35_s0.6_fixed_r1.0_e0.3_h12,2383,335,49.47545111204364,0.942381508237913,-2852.5120460000335,-1.1970256172891454,-0.0090635583865406,-8.514961331343393,-22.67090069156712,5.289652563134061,-41.94401336796545,-1.0477620904696041
B_t0.35_s0.6_fixed_r1.5_e0.3_h24,1711,335,44.24313267095266,0.9421278053752383,-2731.247579500056,-1.5962873053770053,-0.013898445510891744,-8.152977849253913,-23.490411073469637,7.028460576119187,-40.442306123555746,-0.9094201499453941
B_t0.35_s1_fixed_r1.0_e0.45_h24,1717,353,50.495049504950494,0.9639981856516564,-1930.2585800000554,-1.1242041817123212,-0.0026853191126173528,-5.468154617563908,-23.771262594193058,11.99072450247883,-36.85154287843615,-0.5044996197421899
B_t0.35_s0.8_fixed_r1.5_e0.45_h24,1783,353,46.4385866517106,0.9670511705142748,-1813.931047999802,-1.0173477554682009,-0.0029696595390413323,-5.138614866854973,-23.898486030311044,13.140763495042956,-44.44514932732962,-0.45922156460310176
B_t0.35_s0.6_fixed_r1.5_e0.3_h12,2240,335,47.05357142857143,0.9331765156254261,-3237.1125865000663,-1.4451395475446724,-0.011944230832680836,-9.663022646268859,-24.08651333115671,4.727854501156341,-41.01892631459677,-1.1330478708517282
B_t0.35_s1_vwap_static_e0.45_h24,1593,353,48.336472065285626,0.9574810509217624,-2116.042612000589,-1.3283381117392272,-0.004736657073560815,-5.994454991503093,-24.308312864174145,12.019771492010225,-41.06360904779275,-0.5475904673203149
B_t0.35_s1_fixed_r1.0_e0.3_h24,1412,335,49.787535410764875,0.9409229289566357,-2548.5264999999836,-1.8049054532577786,-0.008602327939463921,-7.607541791044732,-24.450194201119604,8.908637955970088,-39.532686610217844,-0.7670965283475524
B_t0.35_s0.6_vwap_static_e0.45_h12,2630,353,45.171102661596954,0.9561863390821982,-2579.785526700596,-0.9809070443728503,-0.005309927337748882,-7.308174296602266,-25.121758180769408,9.855714035108123,-43.879324872780515,-0.6890241716688208
B_t0.35_s1_fixed_r1.5_e0.3_h24,1353,335,47.74575018477458,0.9365500858682142,-2668.3335749998882,-1.972160809312556,-0.010873154063713959,-7.965174850745943,-25.326280597014883,8.567812424254095,-38.787349270499206,-0.79375036744819
B_t0.35_s1_vwap_static_e0.3_h24,1333,335,48.16204051012753,0.9317841311816563,-2784.382729100992,-2.0888092491380283,-0.012745276464128992,-8.31159023612237,-25.630996629576337,8.167658924624474,-39.43407150047619,-0.8387910633027116
B_t0.35_s0.8_fixed_r1.5_e0.45_h12,2510,353,48.08764940239044,0.9555425275297211,-2591.686995999876,-1.0325446199202695,-0.003544091418205382,-7.341889507081814,-25.713134695892197,10.601120720679717,-50.67569130989371,-0.6652070193886171
B_t0.35_s1_vwap_static_e0.45_h12,2388,353,49.45561139028476,0.9493309859995579,-2782.236518435415,-1.165090669361564,-0.0036107817397353784,-7.881689853924697,-26.01562786081891,9.846127829594803,-46.217417765387324,-0.7255669594299234
