session_date,weekday,bars,ticks,open,high,low,close,range_pct,ret_pct,trendiness,vwap_drift_pct,realized_vol_pct,max_dev_pct,mean_abs_dev_pct,vwap_crosses,avg_spread,median_spread
2024-01-02,Tuesday,276,102285,2063.9055,2078.9895,2056.198,2059.7765,1.10428990086999,-0.20005760922677446,0.18116403044994214,0.15951986645263705,0.7778814689495674,0.6184851320810744,0.2306154164313792,7,0.10501942279590881,0.06300000000010186
2024-01-03,Wednesday,276,121914,2059.748,2066.0825,2030.6225,2042.9665,1.7215698231045757,-0.8147355890138042,0.47325155104343014,-0.44615563513144274,0.8743622169756932,1.1528235803949003,0.44826423358974776,15,0.07153454655747478,0.06299999999964712
2024-01-04,Thursday,276,99700,2042.9569999999999,2051.0585,2036.2755,2044.165,0.7236079858753821,0.05912997679344616,0.08171548400189901,0.08292933482252196,0.6087023374589381,0.4130094994537916,0.0866107620895028,39,0.07116464640311758,0.06299999999987449
2024-01-05,Friday,264,137735,2044.217,2064.0845,2024.5165,2045.5785,1.9356066405865906,0.06660251822580372,0.03440911847957892,0.026230029299896762,1.1403652322339015,0.972068319684172,0.14653222274902408,21,0.06289927146024804,0.06299999999964712
2024-01-08,Monday,276,118516,2044.312,2046.69,2016.7694999999999,2030.739,1.463597533057585,-0.663939750879507,0.45363546732172877,-0.645193131959666,0.7315639432972593,0.7085832927590263,0.2788478858197394,8,0.07074749011256398,0.06299999999987449
2024-01-09,Tuesday,276,109917,2030.7115,2042.0865,2026.1219999999998,2030.7005,0.7861530306003608,-0.0005416820656192305,0.0006890287826093663,0.07530370788690757,0.6646755190366337,0.3913525127992085,0.10972108590512017,27,0.07072298780487868,0.06299999999987449
2024-01-10,Wednesday,276,103604,2030.703,2040.3685,2020.453,2026.658,0.9807194848286562,-0.19919210243940513,0.20310813185709922,-0.08137038381076643,0.6169128150261031,0.4487075731540033,0.1660153064963154,17,0.0711153518383235,0.06299999999987449
2024-01-11,Thursday,276,135455,2026.7135,2048.768,2013.3085,2035.255,1.7496059507177475,0.42144585310158744,0.24088044106657053,0.08680490674581084,0.8981662695521342,0.8053392369014246,0.17596836648827702,18,0.07143063829787348,0.06299999999987449
2024-01-12,Friday,264,120308,2035.3115,2062.368,2030.1095,2049.1325,1.5849416661773843,0.6790606744962695,0.4284452159895896,0.39456804250359073,0.7141938424424052,1.0720918004270887,0.28560590179575784,7,0.06250244026113902,0.062000000000352884
2024-01-15,Monday,243,74311,2047.7525,2058.726,2045.8635,2054.1355,0.6281276667956788,0.31170759161567674,0.49624878522835536,0.3266446571317671,0.43595957272000013,0.31906557096555166,0.08445563189519788,11,0.07295883373828468,0.06299999999964712
2024-01-16,Tuesday,276,128207,2054.0969999999998,2054.6085000000003,2024.2894999999999,2028.129,1.4760257183570404,-1.2642051470792202,0.8564926283848244,-0.6739632365880089,0.913376716086113,0.8997555452605907,0.3532233680786335,6,0.0707553799392077,0.06299999999964712
2024-01-17,Wednesday,276,122466,2028.161,2033.0335,2001.8429999999998,2009.5475000000001,1.5378710072819741,-0.917752584730696,0.5967682467417912,-0.44637221344115224,0.7773523913230881,0.9418374611494119,0.3325973026918597,20,0.07116830840325936,0.06299999999987449
2024-01-18,Thursday,276,101528,2009.5645,2024.5315,2005.817,2023.723,0.9312714272171927,0.7045556387963663,0.7565524058884806,0.2151309385567649,0.5280108485094163,0.5477830059307836,0.1714156386514091,11,0.07100169995750132,0.06299999999987449
2024-01-19,Friday,264,92535,2023.8235,2039.3315,2020.4115000000002,2029.5520000000001,0.9348641321735737,0.2830533393845939,0.30277484143764344,0.1946583414692233,0.5379427974202463,0.5584395186689826,0.14304609039447722,15,0.062492443484887854,0.06200000000012551
2024-01-22,Monday,276,96507,2027.5900000000001,2032.1734999999999,2016.5495,2020.8515,0.7705699870289258,-0.3323403646693936,0.43129160266258615,-0.20176612854446943,0.6360003097422914,0.33931773726622266,0.1288267473941774,15,0.07052733922584663,0.06299999999987449
2024-01-23,Tuesday,276,97035,2020.8545,2038.0075000000002,2019.659,2029.437,0.9079575001564961,0.4246965825595055,0.46774940730849685,0.2538817529953908,0.5805458992098748,0.49976946580101306,0.11968065659200322,18,0.0704673222575134,0.06299999999987449
2024-01-24,Wednesday,276,106232,2029.3029999999999,2036.8305,2011.238,2016.4015,1.261147300329225,-0.6357601600155296,0.5041125329686414,-0.23120216464322715,0.7134451729883509,0.7582046254144814,0.2804792971147405,10,0.07120784289809245,0.06299999999987449
2024-01-25,Thursday,276,99767,2016.2765,2025.3405,2009.661,2020.5484999999999,0.7776463198375799,0.21187570256360846,0.27245766765521506,0.040637424217915864,0.5729801098856785,0.3926693307640427,0.08428400992881258,25,0.0714981058291594,0.06299999999987449
2024-01-26,Friday,264,85799,2020.656,2026.9695000000002,2015.9535,2018.5684999999999,0.5451694895123206,-0.10330803461846504,0.18949709513435697,-0.007511423838511016,0.4797361844823654,0.2453009106242689,0.08515656571695146,27,0.06250171777579684,0.06200000000012551
2024-01-29,Monday,276,91291,2021.932,2037.6615000000002,2019.3815,2031.0304999999998,0.904085795170174,0.4499904052163886,0.4977297592997665,0.3189121436711791,0.6246942646188968,0.4695973293690226,0.13742922062919283,17,0.07063680623174215,0.06299999999987449
2024-01-30,Tuesday,276,99841,2030.9920000000002,2048.6555,2029.125,2036.5315,0.9616236794630331,0.27274848940812474,0.28363329151838945,0.171265882009923,0.602174772931372,0.6294725685038897,0.10166975253584644,20,0.07070168501733679,0.06299999999987449
2024-01-31,Wednesday,276,127196,2036.4940000000001,2056.0665,2030.925,2040.0835,1.2345481990126144,0.1762588055746698,0.1427719109838245,0.13633460218832996,0.8200230038550443,0.8494855478885349,0.2021830472758421,8,0.07236483690360263,0.06299999999987449
2024-02-01,Thursday,276,121287,2039.9969999999998,2065.5575,2030.013,2054.9265,1.7423800133039398,0.7318393115284086,0.4200227883357538,0.31167109279413674,0.8790578893366081,1.0428569846708684,0.307148815169861,13,0.07042488905100718,0.06299999999964712
2024-02-02,Friday,264,110234,2054.9385,2057.7225,2027.8415,2039.7065,1.454106777404767,-0.7412387280690005,0.5097553629396697,-0.3689367737528207,0.8699367943944494,1.2053464774630989,0.3016813543971227,22,0.06289381148841672,0.06299999999964712
2024-02-05,Monday,276,99243,2039.3985,2039.9215,2014.912,2025.159,1.226317465664503,-0.6982205782734422,0.5693636418161087,-0.5675770047785444,0.6624745253330748,0.6742663394407554,0.21253626681066254,15,0.07087649572649514,0.06299999999987449
2024-02-06,Tuesday,276,91238,2025.1095,2038.9795,2022.9315000000001,2035.3695,0.7924509761077005,0.506639270617218,0.6393320039880444,0.2156366956324212,0.5019223401118331,0.5532701083044774,0.1744644552771599,10,0.07071089989642447,0.06299999999987449
2024-02-07,Wednesday,276,85273,2035.4144999999999,2044.6275,2030.6185,2036.5275000000001,0.6882627592561621,0.05468173681578292,0.07944892569064763,-0.015168515421898473,0.5755218692272488,0.47625316456348965,0.05777464058810975,45,0.07058532558850562,0.06299999999987449
