param,threshold_pct,stop_pct,trades,win_rate_pct,net_pnl,gross_profit,gross_loss,profit_factor,expectancy,expectancy_R,avg_win,avg_loss,largest_win,largest_loss,max_drawdown,max_drawdown_pct,start_equity,end_equity,return_pct,cagr_pct,sharpe_daily,trading_days,trades_per_day,avg_bars_held,commission_paid,tp_rate_pct,sl_rate_pct
thr1_x2,1.0,2.0,332,51.80722891566265,-10373.353179359423,50928.05384469182,-61301.40702405124,0.8307811568617096,-31.24503969686573,-0.030254097519951263,296.0933363063478,-383.13379390032026,2756.3599999999924,-1092.3147999999976,-12920.054910465988,-115.55261747688921,10000.0,-373.35317935942294,-103.73353179359424,,-1.398593818477548,243,1.3662551440329218,73.68072289156626,232.40000000000003,28.915662650602407,12.951807228915662
thr0.75_x1,0.75,0.75,779,47.625160462130935,-11007.27732601283,90711.5305989871,-101718.80792499988,0.891787196974145,-14.13000940438104,-0.04077417149529908,244.50547331263368,-249.3108037377448,3167.87,-410.0555500000002,-13131.278294672773,-121.04197339905454,10000.0,-1007.2773260128306,-110.0727732601283,,-1.026727859875155,387,2.012919896640827,48.49935815147625,545.3,26.572528883183566,38.767650834403085
thr0.75_x2,0.75,1.5,588,55.952380952380956,-12825.914580394223,77235.51607733776,-90061.43065773197,0.8575870437908364,-21.812779898629632,-0.029784851123364476,234.758407529902,-347.7275314970346,2756.3599999999924,-819.4111000000005,-15028.767849054177,-138.53272144447484,10000.0,-2825.914580394223,-128.25914580394223,,-1.123079280330548,387,1.5193798449612403,64.69727891156462,411.6,35.374149659863946,16.666666666666664
thr1_x1.5,1.0,1.5,358,49.44134078212291,-13023.345429359282,52243.79390283136,-65267.139332190636,0.8004609124497666,-36.378059858545484,-0.04814598753485695,295.16267741712636,-360.591930012103,2756.3599999999924,-819.4111000000005,-15793.197110465871,-141.24903315731763,10000.0,-3023.345429359282,-130.23345429359284,,-1.660754002565072,243,1.4732510288065843,68.21787709497207,250.60000000000005,26.81564245810056,20.391061452513966
thr0.75_x1.5,0.75,1.125,644,53.57142857142857,-13101.1285577932,82919.29947566628,-96020.42803345948,0.8635589444234933,-20.343367325765836,-0.03866841076535865,240.3457955816414,-321.1385552958511,2756.3599999999924,-614.7333250000004,-15082.134526453146,-139.02464673926832,10000.0,-3101.1285577931994,-131.011285577932,,-1.1424536537550183,387,1.6640826873385013,58.92857142857143,450.80000000000007,32.142857142857146,25.0
thr1_x1,1.0,1.0,431,45.93967517401392,-13107.387279359384,60731.46118611685,-73838.84846547621,0.8224865697155638,-30.411571413826877,-0.05935020458641934,306.7245514450346,-316.9049290363786,3167.87,-546.5074000000034,-16153.404410465988,-143.6636592323256,10000.0,-3107.3872793593837,-131.07387279359384,,-1.5012164788276294,243,1.7736625514403292,56.43619489559165,301.70000000000005,22.2737819025522,33.874709976798144
thr0.5_x1.5,0.5,0.75,1378,52.75761973875181,-13200.640570213889,136050.53795964914,-149251.178529863,0.9115541954157996,-9.579565000155217,-0.02981752557813195,187.1396670696687,-229.2644831487911,3167.87,-413.0074749999978,-15219.807527052752,-141.37964224159433,10000.0,-3200.640570213889,-132.0064057021389,,-0.8463875971725178,557,2.473967684021544,46.38896952104499,964.6000000000001,39.9854862119013,32.65602322206096
thr0.5_x1,0.5,0.5,1698,44.994110718492344,-15695.832541381713,147724.19519195042,-163420.02773333213,0.9039540455408924,-9.243717633322564,-0.04079423001541911,193.35627642925448,-174.9679097787282,2723.9399999999996,-278.6149999999936,-17504.589006812726,-163.56246591938583,10000.0,-5695.832541381713,-156.9583254138171,,-1.034514764914953,557,3.0484739676840213,37.33274440518257,1188.6,32.09658421672556,46.34864546525324
thr0.5_x2,0.5,1.0,1223,56.50040883074408,-16146.958277196265,126012.48705285163,-142159.4453300479,0.8864165638821375,-13.202745933929897,-0.029456993611258482,182.36249935289672,-267.21700250009,3167.87,-550.4433000000001,-18047.341959035253,-167.3542820024502,10000.0,-6146.958277196265,-161.46958277196265,,-1.0485467658896843,557,2.1956912028725313,52.39983646770237,856.1000000000001,45.05314799672935,23.875715453802126
thr0.3_x1,0.3,0.3,3810,40.83989501312336,-18469.37512284775,229385.30988468882,-247854.68500753658,0.9254830501901299,-4.847605019120144,-0.03770627430134851,147.41986496445296,-109.96214951532235,2723.9399999999996,-167.33037999999686,-19518.04967119506,-179.64920249773172,10000.0,-8469.375122847749,-184.69375122847748,,-1.064140842697212,646,5.897832817337461,24.20498687664042,2666.9999999999995,32.965879265091864,56.40419947506562
thr0.3_x2,0.3,0.6,2576,57.181677018633536,-21589.738396661407,193808.07196371126,-215397.81036037268,0.8997680693200151,-8.381109626033155,-0.03088164753594078,131.57370805411492,-195.2835996014258,2723.9399999999996,-333.3671199999964,-23098.111817337172,-208.33478969104831,10000.0,-11589.738396661407,-215.89738396661406,,-1.1039545003912414,646,3.9876160990712073,36.413431677018636,1803.2000000000003,49.61180124223603,33.42391304347826
thr0.2_x1.5,0.2,0.30000000000000004,5139,46.58493870402802,-23107.35143372904,274628.8767532228,-297736.22818695183,0.9223898563690419,-4.496468463461576,-0.036297916575660436,114.71548736559014,-108.4649283012575,2723.9399999999996,-167.33037999999686,-24086.68393059007,-223.12417252027936,10000.0,-13107.35143372904,-231.0735143372904,,-1.2956102254582156,664,7.739457831325301,22.110916520723876,3597.3000000000006,40.4553415061296,50.82700914574821
thr0.3_x1.5,0.3,0.44999999999999996,3016,50.265251989389924,-24156.48912865828,212167.03718701366,-236323.52631567197,0.8977821230697489,-8.009445997565741,-0.040331774052582064,139.9518714953916,-157.5490175437813,2723.9399999999996,-250.20033999999504,-25729.74101766749,-235.87264358976972,10000.0,-14156.489128658279,-241.5648912865828,,-1.3722182018569322,646,4.6687306501547985,30.942307692307693,2111.2000000000003,42.04244031830239,43.667108753315645
thr0.2_x2,0.2,0.4,4392,53.32422586520947,-25344.115048552158,259946.33827498235,-285290.4533235346,0.9111638165480054,-5.770517998304225,-0.035870630962631316,110.99331267078665,-139.16607479196807,2723.9399999999996,-222.3753200000039,-26212.297815412538,-245.84824782203566,10000.0,-15344.115048552158,-253.44115048552158,,-1.3616599249514352,664,6.614457831325301,26.070810564663024,3074.4000000000005,47.51821493624772,41.87158469945355
thr0.2_x1,0.2,0.2,6672,35.851318944844124,-25384.481778721267,288340.0815581479,-313724.56333686924,0.9190867252830818,-3.8046285639570243,-0.04540165902558857,120.54351235708525,-73.30013162076384,2723.9399999999996,-111.78145999999579,-26186.584083876216,-246.62532538061132,10000.0,-15384.481778721267,-253.84481778721266,,-1.3785065927666398,664,10.048192771084338,16.744754196642685,4670.4,30.66546762589928,62.7248201438849
